"","stdMake","stdModel","mapModel"
"1977","BMW Brilliance","Zinoro 60H","之诺60H"
"1978","Borgward",NA,"Isabella"
"1979","Borgward","Borgward BX5","Borgward BX5"
"1980","Borgward","Borgward BX5","BX5"
"1981","Borgward","Borgward BX5","宝沃BX5"
"1982","Borgward","Borgward BX6 TS","Borgward BX6 TS"
"1983","Borgward","Borgward BX6 TS","BX6 TS"
"1984","Borgward","Borgward BX6 TS","宝沃BX6 TS"
"1985","Borgward","Borgward BX7","Borgward BX7"
"1986","Borgward","Borgward BX7","BX7"
"1987","Borgward","Borgward BX7","宝沃BX7"
"1988","Brabus",NA,"S级"
"1989","Brabus","Brabus CLS-class","35GC"
"1990","Brabus","Brabus CLS-class","Brabus CLS-class"
"1991","Brabus","Brabus CLS-class","BRABUS巴博斯 CLS级"
"1992","Brabus","Brabus CLS-class","CLS-class [CLS级]"
"1993","Brabus","Brabus CLS-class","巴博斯 CLS级"
"1994","Brabus","Brabus CLS-class","巴博斯CLS级"
"1995","Brabus","Brabus CLS-class","巴博斯CLS系列"
"1996","Brabus","Brabus E-class","35EC"
"1997","Brabus","Brabus E-class","Brabus E-class"
"1998","Brabus","Brabus E-class","E-class [E级]"
"1999","Brabus","Brabus E-class","巴博斯E系列"
"2000","Brabus","Brabus G-class","Brabus G-class"
"2001","Brabus","Brabus G-class","BRABUS巴博斯 G级"
"2002","Brabus","Brabus G-class","巴博斯G级"
"2003","Brabus","Brabus G-class","巴博斯G系列"
"2004","Brabus","Brabus GL-class","45GW"
"2005","Brabus","Brabus GL-class","Brabus GL-class"
"2006","Brabus","Brabus GL-class","BRABUS巴博斯 GL级"
"2007","Brabus","Brabus GL-class","GL-class [GL级]"
"2008","Brabus","Brabus GL-class","巴博斯GL级"
"2009","Brabus","Brabus GL-class","巴博斯GL系列"
"2010","Brabus","Brabus GLE-class","Brabus GLE-class"
"2011","Brabus","Brabus GLE-class","巴博斯GLE级"
"2012","Brabus","Brabus GLE-class","巴博斯GLE系列"
"2013","Brabus","Brabus M-class","35MR"
"2014","Brabus","Brabus M-class","Brabus M-class"
"2015","Brabus","Brabus M-class","BRABUS巴博斯 M级"
"2016","Brabus","Brabus M-class","M-class [M级]"
"2017","Brabus","Brabus M-class","巴博斯 M级"
"2018","Brabus","Brabus M-class","巴博斯M系列"
"2019","Brabus","Brabus ML-class","Brabus ML-class"
"2020","Brabus","Brabus ML-class","巴博斯ML级"
"2021","Brabus","Brabus ML-class","巴博斯ML系列"
"2022","Brabus","Brabus S-class","38S"
"2023","Brabus","Brabus S-class","38S 4M"
"2024","Brabus","Brabus S-class","40S"
"2025","Brabus","Brabus S-class","40S Hybrid [40S 油电混合]"
"2026","Brabus","Brabus S-class","50S 4M"
"2027","Brabus","Brabus S-class","60S"
"2028","Brabus","Brabus S-class","Brabus S-class"
"2029","Brabus","Brabus S-class","BRABUS巴博斯 S级"
"2030","Brabus","Brabus S-class","S-class [S级]"
"2031","Brabus","Brabus S-class","巴博斯 S级"
"2032","Brabus","Brabus S-class","巴博斯S级"
"2033","Brabus","Brabus S-class","巴博斯S系列"
"2034","Brabus","Brabus S-class","巴博斯迈巴赫S级"
"2035","Brabus","Brabus SLK-class","26SC"
"2036","Brabus","Brabus SLK-class","Brabus SLK-class"
"2037","Brabus","Brabus SLK-class","BRABUS巴博斯 SLK级"
"2038","Brabus","Brabus SLK-class","SLK-class [SLK级]"
"2039","Brabus","Brabus SLK-class","巴博斯 SLK级"
"2040","Brabus","Brabus SLK-class","巴博斯SLK级"
"2041","Brabus","Brabus SLK-class","巴博斯SLK系列"
"2042","Brabus","Brabus Smart","Brabus Smart"
"2043","Brabus","Brabus Smart","Forfour"
"2044","Brabus","Brabus Smart","Fortwo Coupe"
"2045","Brabus","Brabus Smart","巴博斯Smart"
"2046","Bufori","Bufori","Bufori"
"2047","Bufori","Bufori","保斐利"
"2048","Bufori","Bufori La Joya","Bufori La Joya"
"2049","Bufori","Bufori La Joya","La Joya"
"2050","Bufori","Bufori La Joya","保斐利LA JOYA"
"2051","Bugatti","Bugatti Chiron","Bugatti Chiron"
"2052","Bugatti","Bugatti Chiron","Chiron"
"2053","Bugatti","Bugatti Chiron","布加迪Chiron"
"2054","Bugatti","Bugatti Veyron","Bugatti Veyron"
"2055","Bugatti","Bugatti Veyron","Veyron [威航]"
"2056","Bugatti","Bugatti Veyron","布加迪威航"
"2057","Bugatti","Bugatti Veyron","威航"
"2058","Bugatti","Bugatti Veyron","威航VEYRON"
"2059","Buick",NA,"朗迪"
"2060","Buick",NA,"利雅RIVIERA"
"2061","Buick",NA,"路霸ROADMASTER"
"2062","Buick",NA,"特垒TERRAZA"
"2063","Buick",NA,"云雀SKYLARK"
"2064","Buick","Buick Avenue","""Park Avenue [林荫大道]
"""
"2065","Buick","Buick Avenue","Buick Avenue"
"2066","Buick","Buick Avenue","别克林荫大道(进口)"
"2067","Buick","Buick Avenue","林荫大道"
"2068","Buick","Buick Avenue","林荫大道PARK AVENUE"
"2069","Buick","Buick Enclave","Buick Enclave"
"2070","Buick","Buick Enclave","ENCLAVE"
"2071","Buick","Buick Enclave","Enclave [昂科雷]"
"2072","Buick","Buick Enclave","昂科雷"
"2073","Buick","Buick Enclave","昂科雷ENCLAVE"
"2074","Buick","Buick Enclave","别克昂科雷"
"2075","Buick","Buick Enclave","别克昂科雷(进口)"
"2076","Buick","Buick Encore","Buick Encore"
"2077","Buick","Buick Encore","昂科拉"
"2078","Buick","Buick Encore","昂科拉ENCORE"
"2079","Buick","Buick Encore","别克昂科拉"
"2080","Buick","Buick Encore","别克昂科拉(进口)"
"2081","Buick","Buick Excelle","Buick Excelle"
"2082","Buick","Buick Excelle","别克凯越"
"2083","Buick","Buick Excelle","别克凯越(进口)"
"2084","Buick","Buick Excelle","凯越"
"2085","Buick","Buick Excelle GT","Buick Excelle GT"
"2086","Buick","Buick Excelle GT","别克英朗GT(进口)"
"2087","Buick","Buick Excelle GT","英朗GT"
"2088","Buick","Buick Excelle XT","Buick Excelle XT"
"2089","Buick","Buick Excelle XT","别克英朗XT(进口)"
"2090","Buick","Buick Excelle XT","英朗XT"
"2091","Buick","Buick Excelle XT/GT","Buick Excelle XT/GT"
"2092","Buick","Buick Excelle XT/GT","别克英朗XT/GT"
"2093","Buick","Buick GL8","Buick GL8"
"2094","Buick","Buick GL8","GL8 豪华商务车"
"2095","Buick","Buick GL8","GL8 商务车"
"2096","Buick","Buick GL8","别克GL8"
"2097","Buick","Buick GL8","别克GL8(进口)"
"2098","Buick","Buick GL8","别克新GL8"
"2099","Buick","Buick LaCROSSE","Buick LaCROSSE"
"2100","Buick","Buick LaCROSSE","Buick LaCROSSE eAssist"
"2101","Buick","Buick LaCROSSE","Lacross [君越]"
"2102","Buick","Buick LaCROSSE","Lacrosse [君越]"
"2103","Buick","Buick LaCROSSE","别克君越"
"2104","Buick","Buick LaCROSSE","别克君越(进口)"
"2105","Buick","Buick LaCROSSE","君越"
"2106","Buick","Buick LaCROSSE","君越eAssist"
"2107","Buick","Buick LeSabre","Buick LeSabre"
"2108","Buick","Buick LeSabre","LeSabre"
"2109","Buick","Buick LeSabre","别克LeSabre"
"2110","Buick","Buick LeSabre","马刀LESABRE"
"2111","Buick","Buick Regal","Buick Regal"
"2112","Buick","Buick Regal","Buick Regal GS"
"2113","Buick","Buick Regal","Century [世纪]"
"2114","Buick","Buick Regal","Regal [君威]"
"2115","Buick","Buick Regal","别克君威"
"2116","Buick","Buick Regal","别克君威(进口)"
"2117","Buick","Buick Regal","君威"
"2118","Buick","Buick Regal","君威GS"
"2119","Buick","Buick Regal","君威LS"
"2120","Buick","Buick Regal","世纪"
"2121","Buick","Buick Regal","世纪CENTURY"
"2122","Buick","Buick Regal","王朝REGAL"
"2123","Buick","Buick Regal","新君威"
"2124","Buick","Buick Royaum","Buick Royaum"
"2125","Buick","Buick Royaum","Royaum [荣御]"
"2126","Buick","Buick Royaum","别克荣御(进口)"
"2127","Buick","Buick Royaum","荣御"
"2128","Buick","Buick Royaum","荣御ROYAUM"
"2129","BYD",NA,"比亚迪其他车辆"
"2130","BYD",NA,"西安奥拓"
"2131","BYD","BYD E5","BYD E5"
"2132","BYD","BYD E5","E5"
"2133","BYD","BYD E5","e5 300"
"2134","BYD","BYD E5","比亚迪E5"
"2135","BYD","BYD E6","BYD E6"
"2136","BYD","BYD E6","E6"
"2137","BYD","BYD E6","e6 400"
"2138","BYD","BYD E6","比亚迪e6"
"2139","BYD","BYD F0","BYD F0"
"2140","BYD","BYD F0","F0"
"2141","BYD","BYD F0","比亚迪F0"
"2142","BYD","BYD F3","BYD F3"
"2143","BYD","BYD F3","F3"
"2144","BYD","BYD F3","比亚迪F3"
"2145","BYD","BYD F3DM","BYD F3DM"
"2146","BYD","BYD F3DM","F3DM"
"2147","BYD","BYD F3DM","比亚迪F3DM"
"2148","BYD","BYD F3R","BYD F3R"
"2149","BYD","BYD F3R","F3R"
"2150","BYD","BYD F3R","F3-R"
"2151","BYD","BYD F3R","比亚迪F3R"
"2152","BYD","BYD F6","BYD F6"
"2153","BYD","BYD F6","F6"
"2154","BYD","BYD F6","比亚迪F6"
"2155","BYD","BYD Flyer","BYD Flyer"
"2156","BYD","BYD Flyer","比亚迪福莱尔"
"2157","BYD","BYD Flyer","福莱尔"
"2158","BYD","BYD Flyer","福莱尔 百灵"
"2159","BYD","BYD Flyer","福莱尔 福星"
"2160","BYD","BYD G3","BYD G3"
"2161","BYD","BYD G3","G3"
"2162","BYD","BYD G3","比亚迪G3"
"2163","BYD","BYD G3R","BYD G3R"
"2164","BYD","BYD G3R","G3R"
"2165","BYD","BYD G3R","G3-R"
"2166","BYD","BYD G3R","比亚迪G3R"
"2167","BYD","BYD G5","BYD G5"
"2168","BYD","BYD G5","G5"
"2169","BYD","BYD G5","比亚迪G5"
"2170","BYD","BYD G6","BYD G6"
"2171","BYD","BYD G6","G6"
"2172","BYD","BYD G6","比亚迪G6"
"2173","BYD","BYD L3","BYD L3"
"2174","BYD","BYD L3","L3"
"2175","BYD","BYD L3","比亚迪L3"
"2176","BYD","BYD M6","BYD M6"
"2177","BYD","BYD M6","M6"
"2178","BYD","BYD M6","比亚迪M6"
"2179","BYD","BYD Qin","BYD Qin"
"2180","BYD","BYD Qin","Qin"
"2181","BYD","BYD Qin","比亚迪秦"
"2182","BYD","BYD Qin","秦"
"2183","BYD","BYD Qin 100","BYD Qin 100"
"2184","BYD","BYD Qin 100","比亚迪秦100"
"2185","BYD","BYD Qin 100","秦100"
"2186","BYD","BYD Qin EV300","BYD Qin EV300"
"2187","BYD","BYD Qin EV300","比亚迪秦EV300"
"2188","BYD","BYD Qin EV300","秦EV300"
"2189","BYD","BYD S3","BYD S3"
"2190","BYD","BYD S3","S3"
"2191","BYD","BYD S3","比亚迪S3"
"2192","BYD","BYD S6","BYD S6"
"2193","BYD","BYD S6","S6"
"2194","BYD","BYD S6","比亚迪S6"
"2195","BYD","BYD S7","BYD S7"
"2196","BYD","BYD S7","S7"
"2197","BYD","BYD S7","比亚迪S7"
"2198","BYD","BYD S8","BYD S8"
"2199","BYD","BYD S8","S8"
"2200","BYD","BYD S8","比亚迪S8"
"2201","BYD","BYD Shang","BYD Shang"
"2202","BYD","BYD Shang","比亚迪商"
"2203","BYD","BYD Shang","商"
"2204","BYD","BYD Sirui","BYD Sirui"
"2205","BYD","BYD Sirui","Sirui"
"2206","BYD","BYD Sirui","比亚迪思锐"
"2207","BYD","BYD Sirui","思锐"
"2208","BYD","BYD Song","BYD Song"
"2209","BYD","BYD Song","Song"
"2210","BYD","BYD Song","比亚迪宋"
"2211","BYD","BYD Song","宋"
"2212","BYD","BYD Song","宋7座版"
"2213","BYD","BYD Song","宋DM"
"2214","BYD","BYD Song","宋EV300"
"2215","BYD","BYD Song Max","宋MAX"
"2216","BYD","BYD Surui","BYD Surui"
"2217","BYD","BYD Surui","Surui"
"2218","BYD","BYD Surui","比亚迪速锐"
"2219","BYD","BYD Surui","速锐"
"2220","BYD","BYD T3","BYD T3"
"2221","BYD","BYD T3","比亚迪T3"
"2222","BYD","BYD Tang","BYD Tang"
"2223","BYD","BYD Tang","Tang"
"2224","BYD","BYD Tang","比亚迪唐"
"2225","BYD","BYD Tang","唐"
"2226","BYD","BYD Tang 100","BYD Tang 100"
"2227","BYD","BYD Tang 100","比亚迪唐100"
"2228","BYD","BYD Tang 100","唐100"
"2229","BYD","BYD Tengshi EV","BYD Tengshi EV"
"2230","BYD","BYD Tengshi EV","腾势EV"
"2231","BYD","BYD Yuan","BYD Yuan"
"2232","BYD","BYD Yuan","Yuan"
"2233","BYD","BYD Yuan","比亚迪元"
"2234","BYD","BYD Yuan","元"
"2235","Cadillac",NA,"Allante"
"2236","Cadillac",NA,"BLS"
"2237","Cadillac",NA,"CADILLAC"
"2238","Cadillac",NA,"Seville"
"2239","Cadillac",NA,"STS"
"2240","Cadillac",NA,"凯帝CATERA"
"2241","Cadillac",NA,"凯雷德ESV"
"2242","Cadillac","Cadillac ATS","ATS"
"2243","Cadillac","Cadillac ATS","Cadillac ATS"
"2244","Cadillac","Cadillac ATS","凯迪拉克ATS"
"2245","Cadillac","Cadillac ATS","凯迪拉克ATS(进口)"
"2246","Cadillac","Cadillac Brougham","Brougham"
"2247","Cadillac","Cadillac Brougham","Cadillac Brougham"
"2248","Cadillac","Cadillac Brougham","凯迪拉克 Brougham"
"2249","Cadillac","Cadillac CT6","Cadillac CT6"
"2250","Cadillac","Cadillac CT6","CT6"
"2251","Cadillac","Cadillac CT6","凯迪拉克CT6"
"2252","Cadillac","Cadillac CT6","凯迪拉克CT6(进口)"
"2253","Cadillac","Cadillac CTS","Cadillac CTS"
"2254","Cadillac","Cadillac CTS","CTS"
"2255","Cadillac","Cadillac CTS","CTS Coupe"
"2256","Cadillac","Cadillac CTS","CTS Sport Wagon [CTS 旅行版]"
"2257","Cadillac","Cadillac CTS","CTS-V旅行版"
"2258","Cadillac","Cadillac CTS","凯迪拉克CTS"
"2259","Cadillac","Cadillac CTS","凯迪拉克CTS(进口)"
"2260","Cadillac","Cadillac CTS-V","Cadillac CTS-V"
"2261","Cadillac","Cadillac CTS-V","CTS-V"
"2262","Cadillac","Cadillac CTS-V","CTS-V Coupe"
"2263","Cadillac","Cadillac CTS-V","CTS-V Wagon [CTS-V 旅行版]"
"2264","Cadillac","Cadillac CTS-V","凯迪拉克CTS-V"
"2265","Cadillac","Cadillac Deville","Cadillac Deville"
"2266","Cadillac","Cadillac Deville","Deville [帝威]"
"2267","Cadillac","Cadillac Deville","帝威"
"2268","Cadillac","Cadillac Deville","帝威DEVILLE"
"2269","Cadillac","Cadillac Deville","凯迪拉克帝威"
"2270","Cadillac","Cadillac DTS","Cadillac DTS"
"2271","Cadillac","Cadillac DTS","DTS"
"2272","Cadillac","Cadillac DTS","凯迪拉克DTS"
"2273","Cadillac","Cadillac Escalade","Cadillac Escalade"
"2274","Cadillac","Cadillac Escalade","ESCALADE"
"2275","Cadillac","Cadillac Escalade","Escalade [凯雷德]"
"2276","Cadillac","Cadillac Escalade","Escalade ESV [凯雷德 ESV]"
"2277","Cadillac","Cadillac Escalade","Escalade EXT [凯雷德 EXT]"
"2278","Cadillac","Cadillac Escalade","Escalade Hybrid [凯雷德 油电混合]"
"2279","Cadillac","Cadillac Escalade","Escalade/凯雷德"
"2280","Cadillac","Cadillac Escalade","凯迪拉克凯雷德"
"2281","Cadillac","Cadillac Escalade","凯雷德"
"2282","Cadillac","Cadillac Escalade","凯雷德 ESV"
"2283","Cadillac","Cadillac Escalade","凯雷德 Hybrid"
"2284","Cadillac","Cadillac Escalade","凯雷德ESCALADE"
"2285","Cadillac","Cadillac Fleetwood","Cadillac Fleetwood"
"2286","Cadillac","Cadillac Fleetwood","弗里特伍德"
"2287","Cadillac","Cadillac Fleetwood","凯迪拉克伍德"
"2288","Cadillac","Cadillac Fleetwood","伍德"
"2289","Cadillac","Cadillac Hearse","Cadillac Hearse"
"2290","Cadillac","Cadillac Hearse","Hearse"
"2291","Cadillac","Cadillac Hearse","HEARSE 殡葬车"
"2292","Cadillac","Cadillac Hearse","凯迪拉克Hearse"
"2293","Cadillac","Cadillac SLS","Cadillac SLS"
"2294","Cadillac","Cadillac SLS","SGM-Cadillac SLS"
"2295","Cadillac","Cadillac SLS","凯迪拉克Seville"
"2296","Cadillac","Cadillac SLS","凯迪拉克SLS(进口)"
"2297","Cadillac","Cadillac SLS","凯迪拉克STS/SLS"
"2298","Cadillac","Cadillac SLS","赛威"
"2299","Cadillac","Cadillac SLS","赛威SEVILLE"
"2300","Cadillac","Cadillac SLS","赛威SLS"
"2301","Cadillac","Cadillac SRX","Cadillac SRX"
"2302","Cadillac","Cadillac SRX","SRX"
"2303","Cadillac","Cadillac SRX","SRX PERFORMANCE"
"2304","Cadillac","Cadillac SRX","凯迪拉克SRX"
"2305","Cadillac","Cadillac SRX","凯迪拉克SRX(进口)"
"2306","Cadillac","Cadillac Traverse","Cadillac Traverse"
"2307","Cadillac","Cadillac Traverse","Traverse"
"2308","Cadillac","Cadillac Traverse","凯迪拉克Traverse"
"2309","Cadillac","Cadillac XLR","Cadillac XLR"
"2310","Cadillac","Cadillac XLR","XLR"
"2311","Cadillac","Cadillac XLR","凯迪拉克XLR"
"2312","Cadillac","Cadillac XT5","Cadillac XT5"
"2313","Cadillac","Cadillac XT5","XT5"
"2314","Cadillac","Cadillac XT5","凯迪拉克XT5(进口)"
"2315","Cadillac","Cadillac XTS","Cadillac XTS"
"2316","Cadillac","Cadillac XTS","SGM-Cadillac XTS"
"2317","Cadillac","Cadillac XTS","XTS"
"2318","Cadillac","Cadillac XTS","凯迪拉克XTS"
"2319","Cadillac","Cadillac XTS","凯迪拉克XTS(进口)"
"2320","Cadillac","Cadillac Yokon","Cadillac Yokon"
"2321","Cadillac","Cadillac Yokon","Yokon"
"2322","Cadillac","Cadillac Yokon","YOKON XL"
"2323","Cadillac","Cadillac Yokon","凯迪拉克育空"
"2324","Carlsson",NA,"商旅车"
"2325","Carlsson",NA,"商务车"
"2326","Carlsson","Carlsson C","C25"
"2327","Carlsson","Carlsson C","Carlsson C"
"2328","Carlsson","Carlsson C","卡尔森C"
"2329","Carlsson","Carlsson GL","Carlsson GL"
"2330","Carlsson","Carlsson GL","CGL45"
"2331","Carlsson","Carlsson GL","GL级"
"2332","Carlsson","Carlsson GL","卡尔森 GL级"
"2333","Carlsson","Carlsson GL","卡尔森GL"
"2334","Carlsson","Carlsson S","Carlsson S"
"2335","Carlsson","Carlsson S","CS60"
"2336","Carlsson","Carlsson S","S级"
"2337","Carlsson","Carlsson S","卡尔森 S级"
"2338","Carlsson","Carlsson S","卡尔森S"
"2339","Carlsson","Carlsson Sprinter","Carlsson Sprinter"
"2340","Carlsson","Carlsson Sprinter","卡尔森凌特"
"2341","Carlsson","Carlsson Sprinter","凌特"
"2342","Carlsson","Carlsson Sprinter","凌特C10"
"2343","Carlsson","Carlsson T6","Carlsson T6"
"2344","Carlsson","Carlsson T6","T6"
"2345","Carlsson","Carlsson T6","大众T6"
"2346","Carlsson","Carlsson T6","卡尔森大众T6"
"2347","Carlsson","Carlsson V","Carlsson V"
"2348","Carlsson","Carlsson V","V-Class"
"2349","Carlsson","Carlsson V","V级"
"2350","Carlsson","Carlsson V","卡尔森V"
"2351","Carlsson","Carlsson Vito","Carlsson Vito"
"2352","Carlsson","Carlsson Vito","卡尔森威霆"
"2353","Carlsson","Carlsson Vito","威霆"
"2354","Carlsson","Carlsson Vito","新威霆"
"2355","Changan Car",NA,"Chang'An Automobile Mini Truck"
"2356","Changan Car",NA,"Chang'an Light Truck"
"2357","Changan Car",NA,"Light Truck"
"2358","Changan Car",NA,"长安镭蒙"
"2359","Changan Car",NA,"长安其他车辆"
"2360","Changan Car",NA,"长安之星6363"
"2361","Changan Car",NA,"长安之星6378"
"2362","Changan Car",NA,"长安专用车"
"2363","Changan Car",NA,"福瑞达"
"2364","Changan Car",NA,"镭蒙"
"2365","Changan Car",NA,"欧雅"
"2366","Changan Car",NA,"星光6395"
"2367","Changan Car",NA,"星光6402"
"2368","Changan Car",NA,"星光小卡"
"2369","Changan Car",NA,"雪虎"
"2370","Changan Car","Changan Alsvin","Changan Alsvin"
"2371","Changan Car","Changan Alsvin","Changan Alsvin Sedan"
"2372","Changan Car","Changan Alsvin","YueXiang"
"2373","Changan Car","Changan Alsvin","长安悦翔"
"2374","Changan Car","Changan Alsvin","悦翔"
"2375","Changan Car","Changan Alsvin","悦翔三厢"
"2376","Changan Car","Changan Alsvin","悦翔-三厢"
"2377","Changan Car","Changan Alsvin Hatchback","Changan Alsvin Hatchback"
"2378","Changan Car","Changan Alsvin Hatchback","长安悦翔两厢"
"2379","Changan Car","Changan Alsvin Hatchback","悦翔HB"
"2380","Changan Car","Changan Alsvin Hatchback","悦翔两厢"
"2381","Changan Car","Changan Alsvin Hatchback","悦翔-两厢"
"2382","Changan Car","Changan Alsvin V3","Changan Alsvin V3"
"2383","Changan Car","Changan Alsvin V3","Yuexiang V3"
"2384","Changan Car","Changan Alsvin V3","长安V3"
"2385","Changan Car","Changan Alsvin V3","长安跨越V3"
"2386","Changan Car","Changan Alsvin V3","长安悦翔V3"
"2387","Changan Car","Changan Alsvin V3","悦翔V3"
"2388","Changan Car","Changan Alsvin V5","Changan Alsvin V5"
"2389","Changan Car","Changan Alsvin V5","V5"
"2390","Changan Car","Changan Alsvin V5","YueXiang V5"
"2391","Changan Car","Changan Alsvin V5","长安V5"
"2392","Changan Car","Changan Alsvin V5","长安跨越V5"
"2393","Changan Car","Changan Alsvin V5","长安悦翔V5"
"2394","Changan Car","Changan Alsvin V5","悦翔V5"
"2395","Changan Car","Changan Alsvin V5","悦翔V5HB"
"2396","Changan Car","Changan Alsvin V7","Changan Alsvin V7"
"2397","Changan Car","Changan Alsvin V7","Yuexiang V7"
"2398","Changan Car","Changan Alsvin V7","长安悦翔V7"
"2399","Changan Car","Changan Alsvin V7","悦翔V7"
"2400","Changan Car","Changan Benni","Benben"
"2401","Changan Car","Changan Benni","Changan Benni"
"2402","Changan Car","Changan Benni","奔奔"
"2403","Changan Car","Changan Benni","奔奔i"
"2404","Changan Car","Changan Benni","长安奔奔"
"2405","Changan Car","Changan Benni","长安奔奔i"
"2406","Changan Car","Changan Benni","新奔奔"
"2407","Changan Car","Changan Benni","新奔奔系列"
"2408","Changan Car","Changan Benni EV","Changan Benni EV"
"2409","Changan Car","Changan Benni EV","奔奔EV"
"2410","Changan Car","Changan Benni EV","奔奔mini-e"
"2411","Changan Car","Changan Benni EV","长安奔奔EV"
"2412","Changan Car","Changan Benni Love","Changan Benni Love"
"2413","Changan Car","Changan Benni Love","奔奔LOVE"
"2414","Changan Car","Changan Benni Love","长安奔奔Love"
"2415","Changan Car","Changan Benni Mini","Benben Mini"
"2416","Changan Car","Changan Benni Mini","Changan Benni Mini"
"2417","Changan Car","Changan Benni Mini","奔奔MINI"
"2418","Changan Car","Changan Benni Mini","长安奔奔MINI"
"2419","Changan Car","Changan Cinturx","Changan Cinturx"
"2420","Changan Car","Changan Cinturx","CINTURX"
"2421","Changan Car","Changan Cinturx","长安Cinturx"
"2422","Changan Car","Changan CM8","Changan CM8"
"2423","Changan Car","Changan CM8","CM8"
"2424","Changan Car","Changan CM8","长安CM8"
"2425","Changan Car","Changan CS","Changan CS"
"2426","Changan Car","Changan CS","CS"
"2427","Changan Car","Changan CS","长安CS"
"2428","Changan Car","Changan CS15","Changan CS15"
"2429","Changan Car","Changan CS15","CS15"
"2430","Changan Car","Changan CS15","长安CS15"
"2431","Changan Car","Changan CS35","Changan CS35"
"2432","Changan Car","Changan CS35","CS35"
"2433","Changan Car","Changan CS35","CS35系列"
"2434","Changan Car","Changan CS35","长安CS35"
"2435","Changan Car","Changan CS35","长安SC35"
"2436","Changan Car","Changan CS55","Changan CS55"
"2437","Changan Car","Changan CS55","CS55"
"2438","Changan Car","Changan CS55","长安CS55"
"2439","Changan Car","Changan CS75","Changan CS75"
"2440","Changan Car","Changan CS75","CS75"
"2441","Changan Car","Changan CS75","长安CS75"
"2442","Changan Car","Changan CS95","Changan CS95"
"2443","Changan Car","Changan CS95","CS95"
"2444","Changan Car","Changan CS95","长安CS95"
"2445","Changan Car","Changan CX20","Changan CX20"
"2446","Changan Car","Changan CX20","CX20"
"2447","Changan Car","Changan CX20","长安CX20"
"2448","Changan Car","Changan CX30","Changan CX30"
"2449","Changan Car","Changan CX30","CX30"
"2450","Changan Car","Changan CX30","CX30三厢"
"2451","Changan Car","Changan CX30","CX30-三厢"
"2452","Changan Car","Changan CX30","长安CX30"
"2453","Changan Car","Changan CX30","长安CX30三厢"
"2454","Changan Car","Changan CX30 Hatchback","Changan CX30 Hatchback"
"2455","Changan Car","Changan CX30 Hatchback","CX30两厢"
"2456","Changan Car","Changan CX30 Hatchback","CX30-两厢"
"2457","Changan Car","Changan CX30 Hatchback","长安CX30HB"
"2458","Changan Car","Changan CX30 Hatchback","长安CX30两厢"
"2459","Changan Car","Changan CX70","Changan CX70"
"2460","Changan Car","Changan CX70","CX70"
"2461","Changan Car","Changan CX70","长安CX70"
"2462","Changan Car","Changan CX70T","Changan CX70T"
"2463","Changan Car","Changan CX70T","CX70T"
"2464","Changan Car","Changan CX70T","长安CX70T"
"2465","Changan Car","Changan E30","Changan E30"
"2466","Changan Car","Changan E30","E30"
"2467","Changan Car","Changan E30","长安E30"
"2468","Changan Car","Changan Eado","Changan Eado"
"2469","Changan Car","Changan Eado","Eado"
"2470","Changan Car","Changan Eado","长安逸动"
"2471","Changan Car","Changan Eado","逸动"
"2472","Changan Car","Changan Eado","逸动EADO"
"2473","Changan Car","Changan Eado","逸动XT"
"2474","Changan Car","Changan EadoEV","Changan EadoEV"
"2475","Changan Car","Changan EadoEV","长安逸动EV"
"2476","Changan Car","Changan EadoEV","逸动EV"
"2477","Changan Car","Changan Eulove","Changan Eulove"
"2478","Changan Car","Changan Eulove","Eulove"
"2479","Changan Car","Changan Honor","Changan Honor"
"2480","Changan Car","Changan Honor","Honor"
"2481","Changan Car","Changan Honor","长安欧诺"
"2482","Changan Car","Changan Honor","金欧诺"
"2483","Changan Car","Changan Honor","欧诺"
"2484","Changan Car","Changan Honor","欧诺S"
"2485","Changan Car","Changan Jiexun","Changan Jiexun"
"2486","Changan Car","Changan Jiexun","长安杰勋"
"2487","Changan Car","Changan Jiexun","杰勋"
"2488","Changan Car","Changan Linmax","Changan Linmax"
"2489","Changan Car","Changan Linmax","长安凌轩"
"2490","Changan Car","Changan Linmax","凌轩"
"2491","Changan Car","Changan Mini Bus","Chang'An Automobile Mini Bus"
"2492","Changan Car","Changan Mini Bus","Changan Mini Bus"
"2493","Changan Car","Changan Mini Bus","Hebei Chang'an Light Bus"
"2494","Changan Car","Changan Mini Bus","Light Bus"
"2495","Changan Car","Changan Mini Bus","Mini Bus"
"2496","Changan Car","Changan Mini Bus","Nanjing Chang'an Mini Bus"
"2497","Changan Car","Changan Mini Bus","长安10米城市客车"
"2498","Changan Car","Changan Mini Bus","长安10米公路客车"
"2499","Changan Car","Changan Mini Bus","长安5米城市客车"
"2500","Changan Car","Changan Mini Bus","长安5米公路客车"
"2501","Changan Car","Changan Mini Bus","长安6米城市客车"
"2502","Changan Car","Changan Mini Bus","长安6米公路客车"
"2503","Changan Car","Changan Mini Bus","长安7米城市客车"
"2504","Changan Car","Changan Mini Bus","长安7米公路客车"
"2505","Changan Car","Changan Mini Bus","长安8米城市客车"
"2506","Changan Car","Changan Mini Bus","长安8米公路客车"
"2507","Changan Car","Changan Mini Bus","长安9米城市客车"
"2508","Changan Car","Changan Mini Bus","长安9米公路客车"
"2509","Changan Car","Changan Mini Bus","长安其他轻型客车"
