"","modelIdx","stdMake","stdModel","cp","amo","Segment","Subsegment","var","highprice","meanprice","lowprice"
"196",1085,"BMW","BMW M6","BMWBMW M6",21,"Luxury Car","Midsize Luxury",16,27.68,22.951875,19.88
"197",1145,"Volvo China","Volvo S60L","Volvo ChinaVolvo S60L",13374,"Luxury Car","Compact Luxury",45,5.599,3.29811111111111,2.669
"198",1222,"Mercedes-Benz","Mercedes-Benz CLA-Class","Mercedes-BenzMercedes-Benz CLA-Class",16584,"Luxury Car","Compact Luxury",37,3.79,3.12891891891892,2.47
"199",1238,"BAIC Motor","BAIC BJ212","BAIC MotorBAIC BJ212",9,"SUV","Compact SUV",6,0.6,0.578666666666667,0.568
"200",1239,"BAIC Yinxiang","BAIC Huansu S2","BAIC YinxiangBAIC Huansu S2",1987,"SUV","Midsize SUV",41,0.698,0.628,0.538
"201",1250,"BMW","MINI JCW Cooper","BMWMINI JCW Cooper",65,"Passenger Car","Compact Basic",NA,NA,NA,NA
"202",1282,"Haima","Haima S7","HaimaHaima S7",2053,"SUV","Midsize SUV",87,1.468,1.17742528735632,0.898
"203",1298,"Ferrari Maserati","Maserati GranTurismo","Ferrari MaseratiMaserati GranTurismo",92,"Sports Car","Large Sports",NA,NA,NA,NA
"204",1310,"Rolls-Royce","Rolls-Royce Wraith","Rolls-RoyceRolls-Royce Wraith",84,"Luxury Car","Large Luxury",7,54.7,49.2714285714286,47.1
"205",1319,"Shuguang","Shuguang Qisheng V3","ShuguangShuguang Qisheng V3",1,"SUV","Compact SUV",26,1.198,1.07338461538462,0.948
"206",1383,"Ford","Ford C-Max","FordFord C-Max",48,"MPV","Compact MPV",42,3.8,3.33142857142857,2.85
"207",1434,"Ford","Ford Fiesta ST","FordFord Fiesta ST",1,"Passenger Car","Compact Upper",6,3,2.04916666666667,1.859
"208",1469,"Greatwall","Haval H2","GreatwallHaval H2",75047,"SUV","Compact SUV",106,1.288,1.10064150943396,0.868
"209",1500,"Dongfeng Nissan","Venucia R30","Dongfeng NissanVenucia R30",85,"Passenger Car","Compact Mini",32,0.519,0.44775,0.399
"210",1505,"Tianjin FAW","Tianjin FAW Xiali N5","Tianjin FAWTianjin FAW Xiali N5",4301,"Passenger Car","Compact",116,0.519,0.451155172413793,0.389
"211",1571,"TechArt","TechArt T9","TechArtTechArt T9",1,"Luxury Car","Large Luxury",NA,NA,NA,NA
"212",1575,"Dongfeng Nissan","Venucia E30","Dongfeng NissanVenucia E30",5,"Passenger Car","Compact",13,2.818,2.55876923076923,2.428
"213",1579,"Dongfeng Yulon","Yulon Luxgen 6 SUV","Dongfeng YulonYulon Luxgen 6 SUV",6944,"SUV","Compact SUV",56,2.008,1.54514285714286,1.098
"214",1681,"GAC Gonow","GAC Gonow Xinglang","GAC GonowGAC Gonow Xinglang",60,"Van","Mini Van",55,0.798,0.638454545454545,0.498
"215",1694,"ENRANGER","ENRANGER G3","ENRANGERENRANGER G3",1766,"SUV","Compact SUV",30,0.808,0.681066666666667,0.569
"216",1736,"BAIC Motor","BAIC Yusheng 007","BAIC MotorBAIC Yusheng 007",200,"SUV","Midsize SUV",51,1.228,1.02996078431373,0.878
"217",1841,"Mercedes-Benz","Mercedes-Benz GLA AMG","Mercedes-BenzMercedes-Benz GLA AMG",174,"Luxury SUV","Compact Luxury SUV",8,5.79,5.78125,5.78
"218",1940,"Zhengzhou Nissan","Fengdu MX6","Zhengzhou NissanFengdu MX6",3011,"SUV","Compact SUV",32,1.698,1.463,1.228
"219",1966,"SGM-Wuling","Baojun 560","SGM-WulingBaojun 560",108165,"SUV","Compact SUV",39,1.058,0.835692307692308,0.698
"220",2037,"JAC","JAC Refine A60","JACJAC Refine A60",640,"Passenger Car","Midsize",9,2.295,1.695,1.395
"221",2085,"Zotye","Zotye T700","ZotyeZotye T700",3471,"SUV","Midsize SUV",10,1.558,1.326,1.068
"222",2127,"Rolls-Royce","Rolls-Royce Dawn","Rolls-RoyceRolls-Royce Dawn",46,"Luxury Car","Large Luxury",3,47.78,47.78,47.78
"223",2141,"Qoros","Qoros 5 SUV","QorosQoros 5 SUV",4908,"SUV","Compact SUV",18,1.949,1.67677777777778,1.399
"224",2151,"Mercedes-Benz","Mercedes-Benz GLS-Class","Mercedes-BenzMercedes-Benz GLS-Class",9938,"Luxury SUV","Large Luxury SUV",22,15.98,11.4116363636364,4.737
"225",2154,"Zotye","Zotye SR7","ZotyeZotye SR7",6107,"SUV","Compact SUV",27,1.1795,0.948592592592593,0.668
"226",2164,"SGM-Buick","Buick Verano Hatchback","SGM-BuickBuick Verano Hatchback",6556,"Passenger Car","Midsize",6,1.559,1.509,1.459
"227",2208,"Fujian Mercedes-Benz","Mercedes-Benz V-Class","Fujian Mercedes-BenzMercedes-Benz V-Class",4304,"MPV","Large MPV",10,6.46,5.761,4.89
"228",2211,"Chery","Chery Tiggo 7","CheryChery Tiggo 7",25060,"SUV","Compact SUV",23,1.539,1.24595652173913,0.979
"229",2213,"Lifan","Lifan Maiwei","LifanLifan Maiwei",14837,"SUV","Compact SUV",13,0.798,0.685692307692308,0.578
"230",2225,"Chery","Chery Tiggo 3X","CheryChery Tiggo 3X",12457,"SUV","Compact SUV",22,0.839,0.695818181818182,0.559
"231",2240,"Liebao","Liebao CS9","LiebaoLiebao CS9",1884,"SUV","Compact SUV",8,1.168,0.978,0.768
"232",2245,"SAIC","Roewe RX5","SAICRoewe RX5",90579,"SUV","Midsize SUV",20,1.868,1.351,0.998
"233",2247,"Shanghai Volkswagen","Volkswagen Phideon","Shanghai VolkswagenVolkswagen Phideon",2452,"Passenger Car","Midsize Upper",23,6.59,4.91608695652174,3.49
"234",2267,"Dongfeng","Fengshen AX5","DongfengFengshen AX5",6180,"SUV","Compact SUV",14,1.287,1.07842857142857,0.897
"235",2269,"Ford","Ford Focus RS","FordFord Focus RS",50,"Passenger Car","Midsize",9,3.99,3.42888888888889,3.02
"236",2281,"Geely","Emgrand GL","GeelyEmgrand GL",47449,"Passenger Car","Compact",14,1.138,0.953714285714286,0.788
"237",2304,"SWM","SWM X7","SWMSWM X7",14113,"SUV","Midsize SUV",12,1.069,0.957333333333333,0.859
"238",2308,"SGM-Wuling","Baojun 510","SGM-WulingBaojun 510",137575,"SUV","Compact SUV",3,0.698,0.624666666666667,0.548
"239",3,"Honda","Acura RDX","HondaAcura RDX",400,"Luxury SUV","Compact Luxury SUV",16,5.98,4.7545,3.998
"240",33,"BAIC Motor","BAIC 306","BAIC MotorBAIC 306",4592,"Van","Mini Van",123,0.468,0.419691056910569,0.318
"241",53,"Beijing Hyundai","Hyundai Santa Fe","Beijing HyundaiHyundai Santa Fe",7771,"SUV","Large SUV",124,3.118,2.633,2.198
"242",65,"BMW","BMW 3GT","BMWBMW 3GT",8168,"Luxury Car","Compact Luxury",42,6.98,5.21928571428571,3.98
"243",76,"BMW","BMW X5 M","BMWBMW X5 M",67,"Luxury SUV","Large Luxury SUV",18,21.07,20.1338888888889,18.58
"244",83,"Brabus","Brabus S-class","BrabusBrabus S-class",1,"Luxury Car","Large Luxury",21,28.58,19.9371428571429,15.68
"245",106,"BYD","BYD Qin","BYDBYD Qin",6316,"Passenger Car","Compact",33,2.198,2.04833333333333,1.859
"246",125,"Changan Car","Changan CX20","Changan CarChangan CX20",1652,"Passenger Car","Compact Basic",67,0.709,0.588402985074627,0.499
"247",158,"Changan Suzuki","Suzuki SX4","Changan SuzukiSuzuki SX4",1275,"Passenger Car","Compact Upper",251,1.348,1.05123107569721,0.698
"248",214,"Chery","Chery Tiggo","CheryChery Tiggo",1,"SUV","Compact SUV",269,1.398,1.04097397769517,0.848
"249",215,"Chery","Chery V5","CheryChery V5",1,"MPV","Midsize MPV",64,1.598,1.169875,0.858
"250",275,"Dongfeng Citroen","Citroen Elysee","Dongfeng CitroenCitroen Elysee",31734,"Passenger Car","Midsize Basic",350,1.638,0.975142857142857,0.688
"251",289,"Dongfeng Honda","Honda Jade","Dongfeng HondaHonda Jade",17187,"Passenger Car","Midsize",76,1.838,1.65097368421053,1.299
"252",307,"Dongfeng Nissan","Nissan X-Trail","Dongfeng NissanNissan X-Trail",89854,"SUV","Midsize SUV",178,2.698,2.30468539325843,1.798
"253",312,"Dongfeng Peugeot","Peugeot 307","Dongfeng PeugeotPeugeot 307",1,"Passenger Car","Midsize",178,1.698,1.21906741573034,0.928
"254",313,"Dongfeng Peugeot","Peugeot 308","Dongfeng PeugeotPeugeot 308",25272,"Passenger Car","Midsize",98,1.597,1.22834693877551,0.997
"255",315,"Dongfeng Peugeot","Peugeot 508","Dongfeng PeugeotPeugeot 508",1115,"Passenger Car","Midsize Upper",98,2.697,2.0894693877551,1.697
"256",326,"Dongfeng Yueda Kia","Kia Sportage","Dongfeng Yueda KiaKia Sportage",213,"SUV","Midsize SUV",156,2.388,1.69774358974359,1.098
"257",344,"GQ Honda","Everus S1","GQ HondaEverus S1",80,"Passenger Car","Compact",55,0.998,0.840363636363636,0.678
"258",348,"FAW Audi","Audi A6L","FAW AudiAudi A6L",74653,"Luxury Car","Midsize Luxury",451,8.563,5.01762527716186,2.98
"259",374,"FAW Jilin","FAW Jilin Jiabao","FAW JilinFAW Jilin Jiabao",458,"Van","Mini Van",343,0.549,0.391332361516035,0.25
"260",382,"FAW Toyota","Toyota Land Cruiser","FAW ToyotaToyota Land Cruiser",149,"SUV","Large SUV",140,11.94,8.56315714285714,5.58
"261",383,"FAW Toyota","Toyota Land Cruiser Prado","FAW ToyotaToyota Land Cruiser Prado",28001,"SUV","Large SUV",136,6.98,5.36578676470588,3.698
"262",393,"FAW Volkswagen","Volkswagen CC","FAW VolkswagenVolkswagen CC",12991,"Passenger Car","Midsize Upper",100,3.498,2.8256,2.518
"263",398,"FAW Volkswagen","Volkswagen Sagitar","FAW VolkswagenVolkswagen Sagitar",147004,"Passenger Car","Midsize",374,2.258,1.63472043010753,1.318
"264",421,"Ford","Lincoln MKT","FordLincoln MKT",26,"Luxury SUV","Large Luxury SUV",17,11.98,11.4829411764706,10.8
"265",422,"Ford","Lincoln MKX","FordLincoln MKX",8069,"Luxury SUV","Midsize Luxury SUV",28,8.8,6.87028571428571,4.498
"266",423,"Ford","Lincoln MKZ","FordLincoln MKZ",6282,"Passenger Car","Midsize",41,8.08,4.79707317073171,2.848
"267",428,"Foton","Foton Mengpaike","FotonFoton Mengpaike",3136,"Van","Mini Van",432,1.88,1.32362051282051,0.968
"268",433,"Fudi","Fudi Tansuozhe","FudiFudi Tansuozhe",65,"SUV","Midsize SUV",143,1.138,0.88290780141844,0.666
"269",451,"GAC Mitsubishi","Mitsubishi Pajero Sport","GAC MitsubishiMitsubishi Pajero Sport",2136,"SUV","Midsize SUV",44,3.158,2.65663636363636,2.088
"270",469,"Geely","Englon Jinying","GeelyEnglon Jinying",1,"Passenger Car","Compact",63,0.668,0.596571428571429,0.538
"271",501,"GQ Honda","Honda Odyssey","GQ HondaHonda Odyssey",22716,"MPV","Large MPV",184,3.548,2.61180434782609,2.238
"272",519,"Honda","Honda Accord","HondaHonda Accord",2,"Passenger Car","Midsize Upper",153,4.075,3.25788888888889,1.56
"273",529,"Huatai","Huatai Shengdafei","HuataiHuatai Shengdafei",3454,"SUV","Compact SUV",208,2.198,1.31325480769231,0.608
"274",542,"Hyundai","Hyundai Santa Fe","HyundaiHyundai Santa Fe",3,"SUV","Large SUV",154,3.618,3.06057792207792,2.266
"275",565,"Jaguar","Jaguar F-Type","JaguarJaguar F-Type",328,"Sports Car","Large Sports",47,19.88,11.6651063829787,7.98
"276",594,"JMC","JMC Yusheng","JMCJMC Yusheng",10762,"SUV","Midsize SUV",25,1.788,1.5268,1.288
"277",609,"Land Rover","Land Rover Defender","Land RoverLand Rover Defender",66,"SUV","Large SUV",26,7.5,7.12166666666667,6.6
"278",612,"Land Rover","Land Rover Range Rover","Land RoverLand Rover Range Rover",11852,"Luxury SUV","Large Luxury SUV",182,33.98,17.8900628930818,0
"279",635,"Lifan","Lifan 620","LifanLifan 620",351,"Passenger Car","Midsize Basic",135,0.798,0.654807407407407,0.459
"280",637,"Lifan","Lifan 720","LifanLifan 720",75,"Passenger Car","Midsize Basic",58,0.804,0.702689655172414,0.598
"281",667,"Mazda","Mazda MX-5","MazdaMazda MX-5",12,"Sports Car","Midsize Sports",25,2.998,2.92168,2.78
"282",674,"Mercedes-Benz","Mercedes-Benz B-Class","Mercedes-BenzMercedes-Benz B-Class",4858,"Luxury Car","Compact Luxury",56,3.68,3.06991071428571,2.42
"283",691,"Mercedes-Benz","Mercedes-Benz R-Class","Mercedes-BenzMercedes-Benz R-Class",7640,"MPV","Large MPV",60,12.48,7.95155172413793,5.98
"284",711,"Mitsubishi","Mitsubishi Outlander","MitsubishiMitsubishi Outlander",11,"SUV","Midsize SUV",122,3.74,2.88344262295082,1.998
"285",731,"Nissan","Nissan Quest","NissanNissan Quest",1068,"MPV","Large MPV",23,6.68,5.79764705882353,4.68
"286",744,"Peugeot","Peugeot RCZ","PeugeotPeugeot RCZ",20,"Sports Car","Compact Sports",49,4,3.57575510204082,3.288
"287",754,"Porsche","Porsche Cayman","PorschePorsche Cayman",11,"Sports Car","Compact Sports",26,8.529,7.307,5.88
"288",755,"Porsche","Porsche Panamera","PorschePorsche Panamera",1448,"Luxury Car","Large Luxury",41,40.72,13.3119512195122,10.88
"289",758,"Renault","Renault Koleos","RenaultRenault Koleos",154,"SUV","Midsize SUV",127,2.998,2.56206141732283,1.898
"290",761,"Renault","Renault Megane","RenaultRenault Megane",37,"Passenger Car","Midsize",54,3.858,3.18577777777778,1.95
"291",919,"Suzuki","Suzuki Kazishi","SuzukiSuzuki Kazishi",1,"Passenger Car","Compact",59,2.748,2.31030508474576,1.888
"292",939,"Toyota","Toyota Land Cruiser","ToyotaToyota Land Cruiser",10911,"SUV","Large SUV",44,15.8,12.2741176470588,6.15
"293",940,"Toyota","Toyota Land Cruiser Prado","ToyotaToyota Land Cruiser Prado",17471,"SUV","Large SUV",81,6.4,3.62298507462687,0
"294",951,"Dongfeng Nissan","Venucia R50X","Dongfeng NissanVenucia R50X",296,"Passenger Car","Midsize Basic",68,0.928,0.845529411764706,0.745
"295",952,"Volkswagen","Volkswagen Beetle","VolkswagenVolkswagen Beetle",4756,"Passenger Car","Midsize",134,3.348,2.55189552238806,1.768
"296",963,"Volkswagen","Volkswagen Passat","VolkswagenVolkswagen Passat",8,"Passenger Car","Midsize Upper",23,3.715,3.24965217391304,2.76
"297",967,"Volkswagen","Volkswagen Sharan","VolkswagenVolkswagen Sharan",6748,"MPV","Large MPV",71,4.29,3.40832394366197,2.656
"298",975,"Volvo","Volvo V40","VolvoVolvo V40",5004,"Luxury Car","Compact Luxury",58,3.709,2.87072413793103,2.239
"299",1009,"Zhonghua","Zhonghua H220","ZhonghuaZhonghua H220",12,"Passenger Car","Compact Basic",22,0.798,0.634363636363636,0.548
"300",1010,"Zhonghua","Zhonghua H230","ZhonghuaZhonghua H230",21,"Passenger Car","Compact Basic",34,1.798,0.704882352941177,0.558
"301",1012,"Zhonghua","Zhonghua H330","ZhonghuaZhonghua H330",21,"Passenger Car","Compact Upper",42,0.898,0.717047619047619,0.658
"302",1022,"Zotye","Zotye T200","ZotyeZotye T200",13,"SUV","Compact SUV",40,0.63,0.52875,0.46
"303",1068,"Zotye","Zotye 2008","ZotyeZotye 2008",1,"SUV","Compact SUV",71,1.198,0.533901408450704,0.438
"304",1079,"Audi","Audi S7","AudiAudi S7",19,"Luxury Car","Large Luxury",7,13.58,13.5228571428571,13.48
"305",1123,"Beijing Mercedes-Benz","Mercedes-Benz E-Class","Beijing Mercedes-BenzMercedes-Benz E-Class",62872,"Luxury Car","Midsize Luxury",247,7.98,5.68801619433198,3.98
"306",1147,"BMW","BMW M5","BMWBMW M5",9,"Luxury Car","Midsize Luxury",15,19.78,17.764,15.97
"307",1221,"Mercedes-Benz","Mercedes-Benz CLA AMG","Mercedes-BenzMercedes-Benz CLA AMG",397,"Luxury Car","Compact Luxury",9,6.32,6.01888888888889,5.98
"308",1252,"BMW","MINI Paceman","BMWMINI Paceman",15,"Passenger Car","Compact Basic",13,3.89,3.54538461538462,3.31
"309",1258,"Denza","Denza","DenzaDenza",724,"Passenger Car","Compact",15,4.328,3.99173333333333,3.69
"310",1269,"GAC","Trumpchi GA3","GACTrumpchi GA3",2980,"Passenger Car","Midsize",157,1.748,0.93003821656051,0.698
"311",1289,"Chrysler","Jeep Cherokee","ChryslerJeep Cherokee",1574,"SUV","Midsize SUV",17,5.299,4.4415,3.719
"312",1317,"Shanghai Volkswagen Skoda","Skoda Rapid Spaceback","Shanghai Volkswagen SkodaSkoda Rapid Spaceback",12629,"Passenger Car","Midsize Basic",89,1.369,1.04686516853933,0.699
"313",1328,"Volkswagen","Volkswagen Caravelle","VolkswagenVolkswagen Caravelle",446,"MPV","Large MPV",22,4.188,3.79009090909091,3.518
"314",1466,"GMC","GMC Yukon","GMCGMC Yukon",19,"SUV","Large SUV",5,6.5,6.5,6.5
"315",1470,"FAW Car","Hongqi L5","FAW CarHongqi L5",1,"Luxury Car","Large Luxury",4,50,50,50
"316",1493,"Toyota","Lexus RC","ToyotaLexus RC",129,"Passenger Car","Sporty",27,12.86,9.74,4.88
"317",1514,"Bentley","Bentley EXP 9 F","BentleyBentley EXP 9 F",274,"Luxury SUV","Large Luxury SUV",4,48,41.85,39.8
"318",1516,"Lamborghini","Lamborghini Huracan","LamborghiniLamborghini Huracan",89,"Sports Car","Large Sports",13,43.8,41.3104615384615,29.9
"319",1536,"Chrysler","Dodge Challenger","ChryslerDodge Challenger",100,"Sports Car","Midsize Sports",23,5.999,5.45908695652174,4.59
"320",1583,"SGM-Wuling","Baojun 730","SGM-WulingBaojun 730",146152,"MPV","Midsize MPV",81,1.028,0.777765432098765,0.608
"321",1601,"Dongfeng","Future CM7","DongfengFuture CM7",911,"MPV","Midsize MPV",34,2.299,1.71282352941176,1.299
"322",1684,"GAC Gonow","GAC Gonow Yuexuang","GAC GonowGAC Gonow Yuexuang",1,"SUV","Compact SUV",123,1.518,1.19889430894309,0.898
"323",1687,"Haima","Haima M6","HaimaHaima M6",7076,"Passenger Car","Midsize",40,1.028,0.883,0.698
"324",1826,"Volvo China","Volvo XC60","Volvo ChinaVolvo XC60",21627,"Luxury SUV","Compact Luxury SUV",46,5.399,4.28117391304348,3.589
"325",1857,"Volvo","Volvo S90","VolvoVolvo S90",4032,"Luxury Car","Large Luxury",4,7.128,6.413,5.698
"326",1858,"BAIC Yinxiang","BAIC Huansu H2","BAIC YinxiangBAIC Huansu H2",14101,"MPV","Compact MPV",33,0.668,0.538909090909091,0.428
"327",1861,"BAIC Motor","BAIC Senova D80","BAIC MotorBAIC Senova D80",13,"Passenger Car","Midsize Upper",9,2.688,2.35133333333333,2.048
"328",1878,"Qoros","Qoros 3 SUV","QorosQoros 3 SUV",1021,"SUV","Compact SUV",31,1.799,1.55577419354839,1.279
"329",1919,"Dongfeng Infiniti","Infiniti QX50","Dongfeng InfinitiInfiniti QX50",4150,"Luxury SUV","Midsize Luxury SUV",12,4.498,3.973,3.498
"330",1932,"Dongfeng Yueda Kia","Kia KX3","Dongfeng Yueda KiaKia KX3",14635,"SUV","Compact SUV",50,1.868,1.474,1.128
"331",1933,"GAC","Trumpchi GS4","GACTrumpchi GS4",174802,"SUV","Compact SUV",53,2.198,1.31516981132075,0.998
"332",2020,"Changan Ford","Ford Taurus","Changan FordFord Taurus",16451,"Passenger Car","Midsize Upper",23,3.698,2.8584347826087,2.338
"333",2038,"JAC","JAC Refine S2","JACJAC Refine S2",12418,"SUV","Compact SUV",41,0.788,0.634341463414634,0.398
"334",2091,"Dongfeng","Future Joyear X5","DongfengFuture Joyear X5",29608,"SUV","Compact SUV",64,1.089,0.9265,0.799
"335",2109,"SGM-Cadillac","Cadillac CT6","SGM-CadillacCadillac CT6",5234,"Luxury Car","Large Luxury",28,8.188,5.87125,4.399
"336",2159,"Changan Car","Changan CS15","Changan CarChangan CS15",37512,"SUV","Compact SUV",20,0.779,0.66,0.539
"337",2162,"GAC Fiat","Jeep Renegade","GAC FiatJeep Renegade",18339,"SUV","Compact SUV",26,2.028,1.66876923076923,1.348
"338",2167,"BAIC Motor","BAIC EU Series","BAIC MotorBAIC EU Series",3409,"Passenger Car","Compact",8,2.569,2.369,2.059
"339",2172,"FAW Mazda","Mazda CX-4","FAW MazdaMazda CX-4",37674,"SUV","Compact SUV",15,2.158,1.72933333333333,1.408
"340",2196,"BAIC Motor","BAIC Senova X35","BAIC MotorBAIC Senova X35",29224,"SUV","Compact SUV",12,0.888,0.774666666666667,0.658
"341",2207,"FAW Jilin","FAW Jilin Xenia R7","FAW JilinFAW Jilin Xenia R7",26467,"SUV","Compact SUV",23,0.999,0.820304347826087,0.669
"342",2228,"Ferrari Maserati","Ferrari GTC4 Lusso","Ferrari MaseratiFerrari GTC4 Lusso",13,"Sports Car","Large Sports",3,53.88,47.88,35.88
"343",2292,"Chery Jaguar Land Rover","Jaguar XFL","Chery Jaguar Land RoverJaguar XFL",10435,"Luxury Car","Midsize Luxury",16,6.88,5.0625,3.88
"344",2298,"Dongfeng Peugeot","Peugeot 4008","Dongfeng PeugeotPeugeot 4008",22907,"SUV","Midsize SUV",12,2.737,2.277,1.857
"345",2299,"Shanghai Volkswagen","Volkswagen Cross Santana","Shanghai VolkswagenVolkswagen Cross Santana",250,"Passenger Car","Midsize Basic",9,1.299,1.15233333333333,1.029
"346",2329,"GAC Fiat","Jeep Compass","GAC FiatJeep Compass",34661,"SUV","Midsize SUV",12,2.418,1.863,1.598
"347",2334,"Dongfeng Renault","Renault Koleos","Dongfeng RenaultRenault Koleos",24041,"SUV","Midsize SUV",14,2.698,2.20514285714286,1.798
"348",2367,"Lifan","Lifan X80","LifanLifan X80",152,"SUV","Midsize SUV",5,1.499,1.319,1.099
"349",2368,"SAIC","Roewe ei6","SAICRoewe ei6",426,"Passenger Car","Compact",3,2.228,2.13466666666667,2.018
"350",2372,"SGM-Chevrolet","Chevrolet Equinox","SGM-ChevroletChevrolet Equinox",13959,"SUV","Large SUV",6,2.499,2.10733333333333,1.749
"351",2396,"Yogomo","Yogomo E330","YogomoYogomo E330",78,"Passenger Car","Compact Mini",NA,NA,NA,NA
"352",2405,"Geely","Geely Vision X1","GeelyGeely Vision X1",4612,"SUV","Compact SUV",4,0.579,0.4915,0.399
"353",1,"Honda","Acura ILX","HondaAcura ILX",1,"Luxury Car","Compact Luxury",11,3.28,3.14363636363636,2.98
"354",27,"Audi","Audi Q5","AudiAudi Q5",1106,"Luxury SUV","Midsize Luxury SUV",56,6.78,5.70349928571428,2.82
"355",29,"Audi","Audi R8","AudiAudi R8",44,"Sports Car","Midsize Sports",50,26.28,23.2534,18.23
"356",77,"BMW","BMW X6","BMWBMW X6",4900,"Luxury SUV","Large Luxury SUV",98,21.68,12.4018481012658,0
"357",81,"BMW","MINI Clubman","BMWMINI Clubman",3058,"Passenger Car","Compact Basic",130,4.128,3.269,2.358
"358",104,"BYD","BYD L3","BYDBYD L3",71,"Passenger Car","Midsize Basic",100,1.188,0.79032,0.549
"359",130,"Changan Car","Changan Mini Van","Changan CarChangan Mini Van",497,"Van","Mini Van",68,1.58,0.578867647058824,0.439
"360",135,"Changan Car","Changan Star","Changan CarChangan Star",31934,"Van","Mini Van",697,0.99,0.425444776119403,0.23
"361",141,"Changan Ford","Ford Fiesta","Changan FordFord Fiesta",8,"Passenger Car","Compact Upper",235,1.229,1.00877021276596,0.789
"362",156,"Changan Suzuki","Suzuki S-Cross","Changan SuzukiSuzuki S-Cross",5724,"SUV","Compact SUV",51,1.648,1.308,1.098
"363",157,"Changan Suzuki","Suzuki Swift","Changan SuzukiSuzuki Swift",8262,"Passenger Car","Compact Basic",182,1.028,0.80932967032967,0.598
"364",166,"Greatwall","Haval H3","GreatwallHaval H3",1,"SUV","Compact SUV",124,1.588,1.20195161290323,0.898
"365",184,"Greatwall","Greatwall Tengyi C50","GreatwallGreatwall Tengyi C50",1,"Passenger Car","Midsize Basic",51,1.008,0.838666666666667,0.739
"366",194,"Changhe Suzuki","Suzuki Wagon R","Changhe SuzukiSuzuki Wagon R",11739,"Passenger Car","Compact Mini",374,1.43,0.536604278074866,0.32
"367",210,"Chery","Chery Karry","CheryChery Karry",346,"Truck","Pickup Truck",507,0.858,0.453947928994083,0.302
"368",246,"Chrysler","Dodge Journey","ChryslerDodge Journey",2615,"SUV","Midsize SUV",72,4.086,3.14056944444444,2.199
"369",270,"Dongfeng Citroen","Citroen C4L","Dongfeng CitroenCitroen C4L",6012,"Passenger Car","Midsize",87,1.899,1.55037931034483,1.239
"370",277,"Dongfeng","Fengshen A60","DongfengFengshen A60",4196,"Passenger Car","Midsize",94,1.398,0.984914893617021,0.697
"371",284,"Dongfeng","Future Lingzhi","DongfengFuture Lingzhi",37707,"MPV","Midsize MPV",730,1.898,1.13417945205479,0.499
"372",295,"Dongfeng Nissan","Nissan March","Dongfeng NissanNissan March",4,"Passenger Car","Compact Mini",76,0.929,0.754263157894737,0.598
"373",297,"Dongfeng Nissan","Nissan Qashqai","Dongfeng NissanNissan Qashqai",81237,"SUV","Midsize SUV",167,2.198,1.78650299401198,1.398
"374",303,"Dongfeng Nissan","Nissan Tiida","Dongfeng NissanNissan Tiida",34867,"Passenger Car","Midsize",469,1.798,1.30855650319829,0.999
"375",349,"FAW Audi","Audi Q3","FAW AudiAudi Q3",41874,"Luxury SUV","Compact Luxury SUV",92,4.288,3.20330434782609,2.342
"376",377,"FAW Jilin","FAW Jilin Xenia S80","FAW JilinFAW Jilin Xenia S80",230,"SUV","Compact SUV",285,0.895,0.755505263157895,0.499
"377",402,"Ferrari Maserati","Ferrari Berlinetta","Ferrari MaseratiFerrari Berlinetta",7,"Sports Car","Large Sports",6,53.08,53.08,53.08
"378",408,"Fiat","Fiat Freemont","FiatFiat Freemont",1,"SUV","Large SUV",23,3.758,2.95626086956522,2.498
"379",414,"Ford","Ford Explorer","FordFord Explorer",7727,"SUV","Large SUV",61,8.38,5.18317391304348,2.183
"380",429,"Foton","Foton Midi","FotonFoton Midi",2,"Van","Mini Van",145,0.878,0.731848275862069,0.593
"381",462,"Geely","Emgrand EC7","GeelyEmgrand EC7",112382,"Passenger Car","Midsize",147,1.138,0.925687074829932,0.698
"382",466,"Geely","Gleagle GC7","GeelyGleagle GC7",6,"Passenger Car","Midsize Basic",62,0.899,0.730612903225807,0.369
"383",540,"Hyundai","Hyundai H-1","HyundaiHyundai H-1",59,"MPV","Midsize MPV",24,2.498,2.32133333333333,2.118
"384",567,"Jaguar","Jaguar XJ","JaguarJaguar XJ",2304,"Luxury Car","Large Luxury",24,20.98,16.7166666666667,12.98
"385",571,"Chrysler","Jeep Compass","ChryslerJeep Compass",614,"SUV","Midsize SUV",81,2.869,2.49677777777778,2.219
"386",597,"Kia","Kia Cadenza","KiaKia Cadenza",12,"Passenger Car","Midsize Basic",73,3.246,2.78465753424658,2.29
"387",603,"Kia","Kia VQ","KiaKia VQ",1,"MPV","Midsize MPV",40,3.25,2.96975,2.75
"388",617,"Landwind","Landwind X5","LandwindLandwind X5",5623,"SUV","Compact SUV",51,1.338,1.1001568627451,0.898
"389",623,"Toyota","Lexus GS","ToyotaLexus GS",1041,"Luxury Car","Midsize Luxury",89,10.34,7.35202247191011,4.59
"390",629,"Toyota","Lexus RX","ToyotaLexus RX",16557,"Luxury SUV","Midsize Luxury SUV",96,9.688,6.96452083333333,4.18
"391",708,"Mitsubishi","Mitsubishi Lancer","MitsubishiMitsubishi Lancer",4,"Passenger Car","Compact",20,2.85,2.5075,2.18
"392",722,"Nissan","Nissan GT-R","NissanNissan GT-R",25,"Sports Car","Midsize Sports",40,23.5,16.72675,14.8
