"","modelIdx","stdMake","stdModel","cp","amo","Segment","Subsegment","var","highprice","meanprice","lowprice"
"46",622,"Toyota","Lexus ES","ToyotaLexus ES",30942,"Luxury Car","Midsize Luxury",94,6.54,4.6036170212766,2.98
"47",625,"Toyota","Lexus IS","ToyotaLexus IS",498,"Luxury Car","Midsize Luxury",114,8.14,4.72585087719298,3.249
"48",634,"Lifan","Lifan 530","LifanLifan 530",14,"Passenger Car","Compact Basic",36,0.698,0.598,0.518
"49",640,"Lifan","Lifan X60","LifanLifan X60",392,"SUV","Compact SUV",45,0.9,0.821994666666667,0.7
"50",641,"Lifan","Lifan Xingshun","LifanLifan Xingshun",1,"Van","Mini Van",28,0.458,0.428,0.398
"51",661,"Mazda","Mazda 5","MazdaMazda 5",1,"Passenger Car","Midsize",63,1.938,1.76561904761905,1.598
"52",669,"McLaren","McLaren 12C","McLarenMcLaren 12C",1,"Sports Car","Large Sports",8,48.8,39.59,33.8
"53",670,"Mercedes-Benz","Mercedes-Benz A-Class","Mercedes-BenzMercedes-Benz A-Class",3663,"Luxury Car","Compact Luxury",120,5,3.55295833333333,2.32
"54",677,"Mercedes-Benz","Mercedes-Benz C-Class","Mercedes-BenzMercedes-Benz C-Class",4498,"Luxury Car","Compact Luxury",297,8.78,5.14784511784512,2.66
"55",679,"Mercedes-Benz","Mercedes-Benz CLS AMG","Mercedes-BenzMercedes-Benz CLS AMG",20,"Luxury Car","Compact Luxury",15,18.68,18.0933333333333,17.78
"56",693,"Mercedes-Benz","Mercedes-Benz S-Class","Mercedes-BenzMercedes-Benz S-Class",14089,"Luxury Car","Large Luxury",190,29.88,15.9690909090909,8.4
"57",702,"Mercedes-Benz","Mercedes-Benz Vito","Mercedes-BenzMercedes-Benz Vito",287,"MPV","Large MPV",12,3.5,3.4,3.3
"58",730,"Nissan","Nissan Patrol","NissanNissan Patrol",9113,"SUV","Large SUV",18,13.9,9.83,5.2
"59",770,"SAIC","Roewe 350","SAICRoewe 350",10974,"Passenger Car","Midsize Basic",104,1.407,1.04855769230769,0.757
"60",776,"Rolls-Royce","Rolls-Royce Ghost","Rolls-RoyceRolls-Royce Ghost",211,"Luxury Car","Midsize Luxury",18,66.6,49.5655555555556,41.9
"61",777,"Rolls-Royce","Rolls-Royce Phantom","Rolls-RoyceRolls-Royce Phantom",14,"Luxury Car","Large Luxury",60,188.8,88.94,61.8
"62",789,"SAIC","MG 3","SAICMG 3",2691,"Passenger Car","Compact Upper",102,1.037,0.833637254901961,0.637
"63",830,"SGM-Chevrolet","Chevrolet Malibu","SGM-ChevroletChevrolet Malibu",33738,"Passenger Car","Midsize Upper",60,2.369,1.88766666666667,1.599
"64",831,"SGM-Chevrolet","Chevrolet Sail","SGM-ChevroletChevrolet Sail",44467,"Passenger Car","Compact",102,0.988,0.696892156862745,0.568
"65",900,"Southeast Mitsubishi","Mitsubishi Galant","Southeast MitsubishiMitsubishi Galant",5,"Passenger Car","Midsize",68,2.198,1.80158823529412,1.498
"66",908,"Ssangyong","Ssangyong Rexton","SsangyongSsangyong Rexton",21,"SUV","Midsize SUV",84,4.78,3.41238554216867,2.498
"67",923,"Tianjin FAW","Tianjin FAW Weizhi","Tianjin FAWTianjin FAW Weizhi",1502,"Passenger Car","Compact",174,0.669,0.560247126436782,0.469
"68",976,"Volvo","Volvo V60","VolvoVolvo V60",1855,"Luxury Car","Compact Luxury",59,6.369,3.87340677966102,2.999
"69",978,"Volvo","Volvo XC90","VolvoVolvo XC90",5844,"Luxury SUV","Large Luxury SUV",103,14.78,8.41392233009709,5.98
"70",1051,"Kia","Kia Carnival","KiaKia Carnival",567,"MPV","Midsize MPV",21,3.898,3.21419047619048,2.698
"71",1126,"BMW Brilliance","BMW 5 Series","BMW BrillianceBMW 5 Series",66335,"Luxury Car","Midsize Luxury",265,7.976,5.84156603773585,4.126
"72",1207,"Kawei","Kawei K1","KaweiKawei K1",3,"Truck","Pickup Truck",39,2.278,1.06517948717949,0.798
"73",1219,"FAW Audi","Audi A3","FAW AudiAudi A3",39607,"Luxury Car","Compact Luxury",127,2.967,2.36144094488189,1.849
"74",1240,"BAIC Yinxiang","BAIC Huansu S5","BAIC YinxiangBAIC Huansu S5",5550,"SUV","Compact SUV",8,0.858,0.733,0.598
"75",1259,"Dongfeng","Dongfeng Brave Warrior","DongfengDongfeng Brave Warrior",1,"SUV","Midsize SUV",2,8,8,8
"76",1261,"Dongfeng Yueda Kia","Kia K3S","Dongfeng Yueda KiaKia K3S",13,"Passenger Car","Midsize",104,1.438,1.21466666666667,1.018
"77",1305,"Morgan","Morgan Plus 8","MorganMorgan Plus 8",1,"Sports Car","Midsize Sports",NA,NA,NA,NA
"78",1363,"Audi","Audi S3","AudiAudi S3",756,"Luxury Car","Compact Luxury",12,3.998,3.784,3.57
"79",1538,"Dongfeng","Fengshen AX7","DongfengFengshen AX7",23028,"SUV","Compact SUV",35,1.497,1.26385714285714,0.997
"80",1570,"TechArt","TechArt T7","TechArtTechArt T7",20,"Luxury SUV","Large Luxury SUV",NA,NA,NA,NA
"81",1572,"Tianjin FAW","Tianjin FAW Junpai D60","Tianjin FAWTianjin FAW Junpai D60",5320,"SUV","Compact SUV",88,0.999,0.764454545454545,0.569
"82",1581,"Dongfeng Yulon","Yulon Luxgen Luxury 7 SUV","Dongfeng YulonYulon Luxgen Luxury 7 SUV",135,"SUV","Large SUV",67,2.798,2.33079104477612,1.798
"83",1741,"Chery","Chery Tiggo 3","CheryChery Tiggo 3",26321,"SUV","Compact SUV",84,0.989,0.838761904761905,0.689
"84",1761,"Lifan","Lifan X50","LifanLifan X50",156,"Passenger Car","Compact",24,0.828,0.714666666666667,0.598
"85",1762,"Morgan","Morgan Plus 4","MorganMorgan Plus 4",1,"Sports Car","Midsize Sports",NA,NA,NA,NA
"86",1773,"Changan Suzuki","Suzuki Alivio","Changan SuzukiSuzuki Alivio",11182,"Passenger Car","Compact",20,1.219,1.039,0.879
"87",1786,"Shanghai Volkswagen","Volkswagen Lamando","Shanghai VolkswagenVolkswagen Lamando",58809,"Passenger Car","Compact",35,2.289,1.83128571428571,1.459
"88",1793,"Jiulong","Jiulong Aifei","JiulongJiulong Aifei",300,"MPV","Large MPV",NA,NA,NA,NA
"89",1803,"Dongfeng Honda","Honda XR-V","Dongfeng HondaHonda XR-V",95403,"SUV","Compact SUV",41,1.628,1.44653658536585,1.278
"90",1868,"Changan Ford","Ford Edge","Changan FordFord Edge",60433,"SUV","Midsize SUV",34,4.498,3.308,2.498
"91",1888,"Honda","Honda Odyssey","HondaHonda Odyssey",2,"MPV","Large MPV",36,2.828,2.56466666666667,2.298
"92",1889,"Nissan","Nissan Pathfinder","NissanNissan Pathfinder",64,"SUV","Large SUV",17,6.78,5.71411764705882,5
"93",1911,"Nissan","Infiniti QX60","NissanInfiniti QX60",1639,"Luxury SUV","Midsize Luxury SUV",22,7.38,6.49818181818182,5.18
"94",1912,"Nissan","Infiniti QX70","NissanInfiniti QX70",194,"Luxury SUV","Large Luxury SUV",22,11.68,8.79818181818182,7.78
"95",1938,"SAIC","MG GS","SAICMG GS",14268,"SUV","Compact SUV",40,1.797,1.37915,0.988
"96",1978,"McLaren","McLaren 675LT","McLarenMcLaren 675LT",11,"Sports Car","Large Sports",NA,NA,NA,NA
"97",1989,"Ferrari Maserati","Maserati Levante","Ferrari MaseratiMaserati Levante",5317,"Luxury SUV","Midsize Luxury SUV",4,14.78,12.389,9.998
"98",1990,"BMW","BMW 2 Series Active Tourer","BMWBMW 2 Series Active Tourer",24,"MPV","Compact MPV",11,3.499,3.13536363636364,2.799
"99",1996,"Beijing Mercedes-Benz","Mercedes-Benz GLA-Class","Beijing Mercedes-BenzMercedes-Benz GLA-Class",37404,"Luxury SUV","Compact Luxury SUV",26,3.99,3.24723076923077,2.698
"100",2019,"Changan Car","Changan Oushang","Changan CarChangan Oushang",45225,"MPV","Midsize MPV",55,0.709,0.589545454545455,0.519
"101",2024,"Dongfeng","Fengshen AX3","DongfengFengshen AX3",10208,"SUV","Compact SUV",29,0.877,0.78251724137931,0.697
"102",2043,"SGM-Buick","Buick Verano","SGM-BuickBuick Verano",77652,"Passenger Car","Midsize",30,1.999,1.615,1.359
"103",2062,"Isuzu","Isuzu MU-X","IsuzuIsuzu MU-X",1778,"SUV","Midsize SUV",65,2.688,2.21061538461538,1.788
"104",2096,"Aston Martin","Aston Martin Taraf","Aston MartinAston Martin Taraf",1,"Luxury SUV","Large Luxury SUV",NA,NA,NA,NA
