"","modelIdx","stdMake","stdModel","cp","numb","Segment","Subsegment","highprice","meanprice","lowprice","type","typedif","typeper","oil","level"
"149",385,"FAW Toyota","Toyota RAV4","FAW ToyotaToyota RAV4",72599,"SUV","Midsize SUV",2.728,2.22959090909091,1.798,"SUV",1,1,8.60454545454546,"紧凑型车"
"150",386,"FAW Toyota","Toyota Reiz","FAW ToyotaToyota Reiz",5768,"Passenger Car","Midsize Upper",3.568,2.62492903225806,2.098,"轿车",1,1,9.30903225806452,"中型车"
"151",389,"FAW Mazda","Mazda 6 Ruiyi","FAW MazdaMazda 6 Ruiyi",3,"Passenger Car","Midsize Upper",2.498,2.00839215686275,1.648,"轿车",2,0.607843137254902,8.12647058823529,"中型车"
"152",394,"FAW Volkswagen","Volkswagen Golf","FAW VolkswagenVolkswagen Golf",77383,"Passenger Car","Midsize",2.399,1.47668347338936,1.16,"轿车",1,1,6.76968838526912,"紧凑型车"
"153",403,"Ferrari Maserati","Ferrari California","Ferrari MaseratiFerrari California",24,"Sports Car","Large Sports",35.28,33.8228571428571,30.88,"敞篷跑车",1,1,19.0909090909091,"中大型车"
"154",406,"Fiat","Fiat 500","FiatFiat 500",14,"Passenger Car","Compact Mini",5.2,2.68492307692308,1.478,"轿车",1,1,7,"微型车"
"155",425,"Ford","Ford Mustang","FordFord Mustang",4318,"Sports Car","Midsize Sports",13.88,7.7235873015873,3.998,"跑车",2,0.784615384615385,11.5790697674419,"中型车"
"156",448,"GAC Fiat","Fiat Viaggio","GAC FiatFiat Viaggio",1714,"Passenger Car","Midsize",1.658,1.3324262295082,1.008,"轿车",1,1,7.27868852459016,"紧凑型车"
"157",455,"GAC Toyota","Toyota E'Z","GAC ToyotaToyota E'Z",2027,"MPV","Midsize MPV",2.398,1.72905263157895,1.498,"MPV",1,1,7.45263157894737,"紧凑型车"
"158",477,"Geely","Englon SX7","GeelyEnglon SX7",12,"SUV","Compact SUV",1.299,1.08725,0.928,"SUV",1,1,8.5625,"紧凑型车"
"159",479,"Geely","Geely Vision","GeelyGeely Vision",75328,"Passenger Car","Midsize Basic",1.038,0.696591715976331,0.489,"轿车",1,1,7.176,"紧凑型车"
"160",500,"GQ Honda","Honda Fit","GQ HondaHonda Fit",61485,"Passenger Car","Compact Upper",1.298,1.02132934131737,0.738,"轿车",1,1,6.21161290322581,"小型车"
"161",502,"Hafei","Hafei Junyi","HafeiHafei Junyi",1,"Van","Mini Van",0.444,0.415333333333333,0.393,"客车",1,1,6.3,"微型客车"
"162",511,"Haima","Haima Family","HaimaHaima Family",14543,"Passenger Car","Midsize Basic",1.836,0.979545098039216,0.618,"轿车",2,0.945098039215686,7.03105769230769,"紧凑型车"
"163",526,"Huatai","Huatai B11","HuataiHuatai B11",10,"Passenger Car","Midsize",1.767,1.47330136986301,1.197,"轿车",1,1,NA,"中型车"
"164",573,"Chrysler","Jeep Patriot","ChryslerJeep Patriot",6,"SUV","Compact SUV",3.422,2.53302631578947,2.219,"SUV",1,1,8.93157894736842,"中型车"
"165",581,"Jinbei","Jinbei Haixing","JinbeiJinbei Haixing",160,"Van","Mini Van",0.408,0.359701030927835,0.298,"客车",2,0.772277227722772,6.73148514851485,"微型客车"
"166",596,"Kia","Kia Borrego","KiaKia Borrego",42,"SUV","Midsize SUV",4.38,4.1415652173913,3.98,"越野车",1,1,13.3347826086957,"中大型车"
"167",601,"Kia","Kia Shuma","KiaKia Shuma",6,"Passenger Car","Compact",2.288,1.93484210526316,1.698,"跑车",1,1,7.57730769230769,"紧凑型车"
"168",613,"Land Rover","Land Rover Range Rover Evoque","Land RoverLand Rover Range Rover Evoque",440,"Luxury SUV","Compact Luxury SUV",9.88888,5.53051571428571,2.882,"SUV",2,0.910714285714286,8.98888888888889,"中型车"
"169",619,"Landwind","Landwind X8","LandwindLandwind X8",1570,"SUV","Compact SUV",1.698,1.37767664670659,0.938,"越野车",1,1,9.23947368421053,"中型车"
"170",627,"Toyota","Lexus LS","ToyotaLexus LS",16,"Luxury Car","Large Luxury",23.88,16.4805714285714,8.8,"轿车",1,1,11.6261538461538,"大型车"
"171",628,"Toyota","Lexus LX","ToyotaLexus LX",2481,"Luxury SUV","Large Luxury SUV",17.4,14.7802272727273,9.685,"越野车",1,1,14.7722222222222,"大型车"
"172",638,"Lifan","Lifan Fengshun","LifanLifan Fengshun",6,"Van","Mini Van",0.494,0.391620253164557,0.328,"客车",1,1,7.19620253164557,"微型客车"
"173",650,"Lotus","Lotus Evora","LotusLotus Evora",3,"Sports Car","Compact Sports",36.8,17.3785714285714,12,"跑车",1,1,9.7,"紧凑型车"
"174",657,"Ferrari Maserati","Maserati Quattroporte","Ferrari MaseratiMaserati Quattroporte",1368,"Luxury Car","Large Luxury",27.98,22.6495081967213,14.215,"轿车",1,1,14.3684210526316,"大型车"
"175",689,"Mercedes-Benz","Mercedes-Benz M-Class","Mercedes-BenzMercedes-Benz M-Class",10,"Luxury SUV","Large Luxury SUV",14.18,9.62411764705882,7.78,"越野车",2,0.710843373493976,12.1318181818182,"中大型车"
"176",692,"Mercedes-Benz","Mercedes-Benz S AMG","Mercedes-BenzMercedes-Benz S AMG",99,"Luxury Car","Large Luxury",36.18,28.748275862069,24,"轿车",2,0.689655172413793,16.22,"大型车"
"177",746,"Porsche","Porsche 911","PorschePorsche 911",1018,"Sports Car","Midsize Sports",35,14.7034867256637,12.326,"跑车",2,0.52212389380531,9.72884615384615,"中型车"
"178",756,"Qoros","Qoros 3","QorosQoros 3",2377,"Passenger Car","Midsize",1.779,1.36891818181818,1.009,"轿车",1,1,6.20181818181818,"紧凑型车"
"179",778,"Saab","Saab 9-3","SaabSaab 9-3",2,"Passenger Car","Midsize",7,4.71333333333333,2.55,"轿车",3,0.457516339869281,9.61486486486486,"中型车"
"180",820,"SGM-Buick","Buick GL8","SGM-BuickBuick GL8",75773,"MPV","Large MPV",3.999,2.97266210045662,2.09,"MPV",1,1,10.1895734597156,"中大型车"
"181",823,"SGM-Buick","Buick Regal","SGM-BuickBuick Regal",30003,"Passenger Car","Midsize Upper",3.69,2.29235233160622,1.758,"轿车",1,1,8.12435233160622,"中型车"
"182",845,"Shanghai Volkswagen","Volkswagen Lavida","Shanghai VolkswagenVolkswagen Lavida",198924,"Passenger Car","Midsize",1.669,1.36362358276644,1.078,"轿车",1,1,6.77800453514739,"紧凑型车"
"183",859,"Shanghai Volkswagen","Volkswagen Touran","Shanghai VolkswagenVolkswagen Touran",18030,"MPV","Midsize MPV",2.485,1.92596992481203,1.398,"MPV",1,1,7.88675799086758,"紧凑型车"
"184",902,"Southeast Mitsubishi","Mitsubishi Zinger","Southeast MitsubishiMitsubishi Zinger",22,"MPV","Midsize MPV",1.798,1.54366037735849,1.298,"MPV",1,1,10.0169811320755,"中型车"
"185",904,"Ssangyong","Ssangyong Actyon","SsangyongSsangyong Actyon",98,"SUV","Midsize SUV",3.078,2.22876219512195,1.548,"越野车",1,1,8.94153846153846,"中型车"
"186",917,"Suzuki","Suzuki Grand Vitara","SuzukiSuzuki Grand Vitara",91,"SUV","Compact SUV",3.39,2.55881578947368,1.888,"SUV",1,1,9.3375,"紧凑型车"
"187",918,"Suzuki","Suzuki Jimny","SuzukiSuzuki Jimny",2364,"SUV","Compact SUV",1.608,1.49889361702128,1.388,"越野车",1,1,7.2,"小型车"
"188",936,"Toyota","Toyota Alphard","ToyotaToyota Alphard",3906,"MPV","Large MPV",8.14,7.14958333333333,5.688,"MPV",1,1,10.6791666666667,"大型车"
"189",993,"Haima","Haima Fushida","HaimaHaima Fushida",1,"Van","Mini Van",0.508,0.399946902654867,0.298,"客车",1,1,6.42592592592593,"微型客车"
"190",995,"Haima","Haima Wangzi","HaimaHaima Wangzi",4,"Passenger Car","Compact Mini",0.438,0.364274509803922,0.298,"轿车",1,1,5.82745098039216,"微型车"
"191",1004,"Zhengzhou Nissan","Nissan Succe","Zhengzhou NissanNissan Succe",2486,"MPV","Compact MPV",1.158,0.786491379310345,0.638,"MPV",1,1,7.83103448275862,"中型车"
"192",1014,"Zhonghua","Zhonghua Splendor","ZhonghuaZhonghua Splendor",187,"Passenger Car","Midsize Basic",1.658,1.13254183266932,0.758,"轿车",2,0.804780876494024,8.22409638554217,"中型车"
"193",1023,"Zotye","Zotye T600","ZotyeZotye T600",25931,"SUV","Midsize SUV",1.498,1.09274747474747,0.798,"SUV",1,1,8.28484848484849,"中型车"
"194",1027,"Zotye","Zotye Z300","ZotyeZotye Z300",3606,"Passenger Car","Midsize Basic",0.88499,0.701209848484848,0.539,"轿车",1,1,6.73333333333333,"紧凑型车"
"195",1028,"ZXAUTO","ZXAUTO C3","ZXAUTOZXAUTO C3",64,"SUV","Compact SUV",0.638,0.599538461538462,0.578,"SUV",1,1,6.7,"小型车"
"196",1085,"BMW","BMW M6","BMWBMW M6",21,"Luxury Car","Midsize Luxury",27.68,22.951875,19.88,"轿跑车",1,1,10.1625,"中大型车"
"197",1145,"Volvo China","Volvo S60L","Volvo ChinaVolvo S60L",13374,"Luxury Car","Compact Luxury",5.599,3.29811111111111,2.669,"轿车",1,1,6.78666666666667,"中型车"
"198",1222,"Mercedes-Benz","Mercedes-Benz CLA-Class","Mercedes-BenzMercedes-Benz CLA-Class",16584,"Luxury Car","Compact Luxury",3.79,3.12891891891892,2.47,"轿车",1,1,6.57027027027027,"紧凑型车"
"199",1238,"BAIC Motor","BAIC BJ212","BAIC MotorBAIC BJ212",9,"SUV","Compact SUV",0.6,0.578666666666667,0.568,"SUV",1,1,10.8,"小型车"
"200",1239,"BAIC Yinxiang","BAIC Huansu S2","BAIC YinxiangBAIC Huansu S2",1987,"SUV","Midsize SUV",0.698,0.628,0.538,"SUV",1,1,6.90731707317073,"小型车"
"201",1250,"BMW","MINI JCW Cooper","BMWMINI JCW Cooper",65,"Passenger Car","Compact Basic",NA,NA,NA,NA,NA,NA,NA,NA
"202",1282,"Haima","Haima S7","HaimaHaima S7",2053,"SUV","Midsize SUV",1.468,1.17742528735632,0.898,"SUV",1,1,8.36551724137931,"紧凑型车"
"203",1298,"Ferrari Maserati","Maserati GranTurismo","Ferrari MaseratiMaserati GranTurismo",92,"Sports Car","Large Sports",NA,NA,NA,NA,NA,NA,NA,NA
"204",1310,"Rolls-Royce","Rolls-Royce Wraith","Rolls-RoyceRolls-Royce Wraith",84,"Luxury Car","Large Luxury",54.7,49.2714285714286,47.1,"轿跑车",1,1,14.0285714285714,"中大型车"
"205",1319,"Shuguang","Shuguang Qisheng V3","ShuguangShuguang Qisheng V3",1,"SUV","Compact SUV",1.198,1.07338461538462,0.948,"SUV",1,1,NA,"中型车"
"206",1383,"Ford","Ford C-Max","FordFord C-Max",48,"MPV","Compact MPV",3.8,3.33142857142857,2.85,"MPV",1,1,NA,"紧凑型车"
"207",1434,"Ford","Ford Fiesta ST","FordFord Fiesta ST",1,"Passenger Car","Compact Upper",3,2.04916666666667,1.859,"轿车",1,1,6.3,"小型车"
"208",1469,"Greatwall","Haval H2","GreatwallHaval H2",75047,"SUV","Compact SUV",1.288,1.10064150943396,0.868,"SUV",1,1,7.57547169811321,"小型车"
"209",1500,"Dongfeng Nissan","Venucia R30","Dongfeng NissanVenucia R30",85,"Passenger Car","Compact Mini",0.519,0.44775,0.399,"轿车",1,1,5.5,"小型车"
"210",1505,"Tianjin FAW","Tianjin FAW Xiali N5","Tianjin FAWTianjin FAW Xiali N5",4301,"Passenger Car","Compact",0.519,0.451155172413793,0.389,"轿车",1,1,6.01120689655172,"小型车"
"211",1571,"TechArt","TechArt T9","TechArtTechArt T9",1,"Luxury Car","Large Luxury",NA,NA,NA,NA,NA,NA,NA,NA
"212",1575,"Dongfeng Nissan","Venucia E30","Dongfeng NissanVenucia E30",5,"Passenger Car","Compact",2.818,2.55876923076923,2.428,"轿车",1,1,NA,"紧凑型车"
"213",1579,"Dongfeng Yulon","Yulon Luxgen 6 SUV","Dongfeng YulonYulon Luxgen 6 SUV",6944,"SUV","Compact SUV",2.008,1.54514285714286,1.098,"SUV",1,1,8.075,"紧凑型车"
"214",1681,"GAC Gonow","GAC Gonow Xinglang","GAC GonowGAC Gonow Xinglang",60,"Van","Mini Van",0.798,0.638454545454545,0.498,"MPV",1,1,7.45454545454545,"紧凑型车"
"215",1694,"ENRANGER","ENRANGER G3","ENRANGERENRANGER G3",1766,"SUV","Compact SUV",0.808,0.681066666666667,0.569,"SUV",1,1,6.92333333333333,"小型车"
"216",1736,"BAIC Motor","BAIC Yusheng 007","BAIC MotorBAIC Yusheng 007",200,"SUV","Midsize SUV",1.228,1.02996078431373,0.878,"SUV",1,1,9.28571428571429,"中型车"
"217",1841,"Mercedes-Benz","Mercedes-Benz GLA AMG","Mercedes-BenzMercedes-Benz GLA AMG",174,"Luxury SUV","Compact Luxury SUV",5.79,5.78125,5.78,"SUV",1,1,8.0375,"紧凑型车"
"218",1940,"Zhengzhou Nissan","Fengdu MX6","Zhengzhou NissanFengdu MX6",3011,"SUV","Compact SUV",1.698,1.463,1.228,"SUV",1,1,8.43125,"紧凑型车"
"219",1966,"SGM-Wuling","Baojun 560","SGM-WulingBaojun 560",108165,"SUV","Compact SUV",1.058,0.835692307692308,0.698,"SUV",1,1,7.27179487179487,"紧凑型车"
"220",2037,"JAC","JAC Refine A60","JACJAC Refine A60",640,"Passenger Car","Midsize",2.295,1.695,1.395,"轿车",1,1,8.8,"中大型车"
"221",2085,"Zotye","Zotye T700","ZotyeZotye T700",3471,"SUV","Midsize SUV",1.558,1.326,1.068,"SUV",1,1,8.98,"中大型车"
"222",2127,"Rolls-Royce","Rolls-Royce Dawn","Rolls-RoyceRolls-Royce Dawn",46,"Luxury Car","Large Luxury",47.78,47.78,47.78,"敞篷跑车",1,1,14.3,"大型车"
"223",2141,"Qoros","Qoros 5 SUV","QorosQoros 5 SUV",4908,"SUV","Compact SUV",1.949,1.67677777777778,1.399,"SUV",1,1,7.59444444444444,"紧凑型车"
"224",2151,"Mercedes-Benz","Mercedes-Benz GLS-Class","Mercedes-BenzMercedes-Benz GLS-Class",9938,"Luxury SUV","Large Luxury SUV",15.98,11.4116363636364,4.737,"SUV",1,1,9.95555555555556,"大型车"
"225",2154,"Zotye","Zotye SR7","ZotyeZotye SR7",6107,"SUV","Compact SUV",1.1795,0.948592592592593,0.668,"SUV",1,1,7.4962962962963,"紧凑型车"
"226",2164,"SGM-Buick","Buick Verano Hatchback","SGM-BuickBuick Verano Hatchback",6556,"Passenger Car","Midsize",1.559,1.509,1.459,"轿车",1,1,6.3,"紧凑型车"
"227",2208,"Fujian Mercedes-Benz","Mercedes-Benz V-Class","Fujian Mercedes-BenzMercedes-Benz V-Class",4304,"MPV","Large MPV",6.46,5.761,4.89,"MPV",1,1,8.98,"大型车"
"228",2211,"Chery","Chery Tiggo 7","CheryChery Tiggo 7",25060,"SUV","Compact SUV",1.539,1.24595652173913,0.979,"SUV",1,1,6.78260869565217,"紧凑型车"
"229",2213,"Lifan","Lifan Maiwei","LifanLifan Maiwei",14837,"SUV","Compact SUV",0.798,0.685692307692308,0.578,"SUV",1,1,7.67692307692308,"紧凑型车"
"230",2225,"Chery","Chery Tiggo 3X","CheryChery Tiggo 3X",12457,"SUV","Compact SUV",0.839,0.695818181818182,0.559,"SUV",1,1,6,"小型车"
"231",2240,"Liebao","Liebao CS9","LiebaoLiebao CS9",1884,"SUV","Compact SUV",1.168,0.978,0.768,"SUV",1,1,6.65,"小型车"
"232",2245,"SAIC","Roewe RX5","SAICRoewe RX5",90579,"SUV","Midsize SUV",1.868,1.351,0.998,"SUV",1,1,7.1,"紧凑型车"
"233",2247,"Shanghai Volkswagen","Volkswagen Phideon","Shanghai VolkswagenVolkswagen Phideon",2452,"Passenger Car","Midsize Upper",6.59,4.91608695652174,3.49,"轿车",1,1,7.82173913043478,"中大型车"
"234",2267,"Dongfeng","Fengshen AX5","DongfengFengshen AX5",6180,"SUV","Compact SUV",1.287,1.07842857142857,0.897,"SUV",1,1,6.98571428571429,"紧凑型车"
"235",2269,"Ford","Ford Focus RS","FordFord Focus RS",50,"Passenger Car","Midsize",3.99,3.42888888888889,3.02,"轿车",1,1,9.2,"紧凑型车"
"236",2281,"Geely","Emgrand GL","GeelyEmgrand GL",47449,"Passenger Car","Compact",1.138,0.953714285714286,0.788,"轿车",1,1,6.32857142857143,"紧凑型车"
"237",2304,"SWM","SWM X7","SWMSWM X7",14113,"SUV","Midsize SUV",1.069,0.957333333333333,0.859,"SUV",1,1,7.3,"中型车"
"238",2308,"SGM-Wuling","Baojun 510","SGM-WulingBaojun 510",137575,"SUV","Compact SUV",0.698,0.624666666666667,0.548,"SUV",1,1,6.3,"小型车"
"239",3,"Honda","Acura RDX","HondaAcura RDX",400,"Luxury SUV","Compact Luxury SUV",5.98,4.7545,3.998,"SUV",1,1,9.68125,"紧凑型车"
"240",33,"BAIC Motor","BAIC 306","BAIC MotorBAIC 306",4592,"Van","Mini Van",0.468,0.419691056910569,0.318,"货车",2,0.520325203252033,6.65254237288136,"轻型货车"
"241",53,"Beijing Hyundai","Hyundai Santa Fe","Beijing HyundaiHyundai Santa Fe",7771,"SUV","Large SUV",3.118,2.633,2.198,"SUV",1,1,9.56935483870968,"中型车"
"242",65,"BMW","BMW 3GT","BMWBMW 3GT",8168,"Luxury Car","Compact Luxury",6.98,5.21928571428571,3.98,"掀背轿车",1,1,7.26190476190476,"中型车"
"243",76,"BMW","BMW X5 M","BMWBMW X5 M",67,"Luxury SUV","Large Luxury SUV",21.07,20.1338888888889,18.58,"SUV",1,1,13.75,"中大型车"
"244",83,"Brabus","Brabus S-class","BrabusBrabus S-class",1,"Luxury Car","Large Luxury",28.58,19.9371428571429,15.68,"轿车",1,1,NA,"大型车"
"245",106,"BYD","BYD Qin","BYDBYD Qin",6316,"Passenger Car","Compact",2.198,2.04833333333333,1.859,"轿车",1,1,1.59393939393939,"紧凑型车"
"246",125,"Changan Car","Changan CX20","Changan CarChangan CX20",1652,"Passenger Car","Compact Basic",0.709,0.588402985074627,0.499,"轿车",1,1,6.37462686567164,"小型车"
"247",158,"Changan Suzuki","Suzuki SX4","Changan SuzukiSuzuki SX4",1275,"Passenger Car","Compact Upper",1.348,1.05123107569721,0.698,"轿车",1,1,7.42475247524752,"紧凑型车"
"248",214,"Chery","Chery Tiggo","CheryChery Tiggo",1,"SUV","Compact SUV",1.398,1.04097397769517,0.848,"SUV",1,1,7.44754716981132,"紧凑型车"
"249",215,"Chery","Chery V5","CheryChery V5",1,"MPV","Midsize MPV",1.598,1.169875,0.858,"MPV",1,1,8.25,"中型车"
"250",275,"Dongfeng Citroen","Citroen Elysee","Dongfeng CitroenCitroen Elysee",31734,"Passenger Car","Midsize Basic",1.638,0.975142857142857,0.688,"轿车",1,1,7.57466666666667,"紧凑型车"
"251",289,"Dongfeng Honda","Honda Jade","Dongfeng HondaHonda Jade",17187,"Passenger Car","Midsize",1.838,1.65097368421053,1.299,"轿车",1,1,6.86578947368421,"紧凑型车"
"252",307,"Dongfeng Nissan","Nissan X-Trail","Dongfeng NissanNissan X-Trail",89854,"SUV","Midsize SUV",2.698,2.30468539325843,1.798,"SUV",1,1,8.5438202247191,"紧凑型车"
"253",312,"Dongfeng Peugeot","Peugeot 307","Dongfeng PeugeotPeugeot 307",1,"Passenger Car","Midsize",1.698,1.21906741573034,0.928,"轿车",1,1,8.00505617977528,"紧凑型车"
"254",313,"Dongfeng Peugeot","Peugeot 308","Dongfeng PeugeotPeugeot 308",25272,"Passenger Car","Midsize",1.597,1.22834693877551,0.997,"轿车",1,1,7.33260869565217,"紧凑型车"
"255",315,"Dongfeng Peugeot","Peugeot 508","Dongfeng PeugeotPeugeot 508",1115,"Passenger Car","Midsize Upper",2.697,2.0894693877551,1.697,"轿车",1,1,8.0265306122449,"中型车"
"256",326,"Dongfeng Yueda Kia","Kia Sportage","Dongfeng Yueda KiaKia Sportage",213,"SUV","Midsize SUV",2.388,1.69774358974359,1.098,"SUV",1,1,9.26776315789474,"紧凑型车"
"257",344,"GQ Honda","Everus S1","GQ HondaEverus S1",80,"Passenger Car","Compact",0.998,0.840363636363636,0.678,"轿车",1,1,6.57272727272727,"小型车"
"258",348,"FAW Audi","Audi A6L","FAW AudiAudi A6L",74653,"Luxury Car","Midsize Luxury",8.563,5.01762527716186,2.98,"轿车",1,1,7.98407079646018,"中大型车"
"259",374,"FAW Jilin","FAW Jilin Jiabao","FAW JilinFAW Jilin Jiabao",458,"Van","Mini Van",0.549,0.391332361516035,0.25,"客车",2,0.897959183673469,6.9910447761194,"微型客车"
"260",382,"FAW Toyota","Toyota Land Cruiser","FAW ToyotaToyota Land Cruiser",149,"SUV","Large SUV",11.94,8.56315714285714,5.58,"越野车",1,1,14.0076923076923,"大型车"
"261",383,"FAW Toyota","Toyota Land Cruiser Prado","FAW ToyotaToyota Land Cruiser Prado",28001,"SUV","Large SUV",6.98,5.36578676470588,3.698,"越野车",1,1,12.3544117647059,"中大型车"
"262",393,"FAW Volkswagen","Volkswagen CC","FAW VolkswagenVolkswagen CC",12991,"Passenger Car","Midsize Upper",3.498,2.8256,2.518,"轿车",1,1,8.0265306122449,"中型车"
"263",398,"FAW Volkswagen","Volkswagen Sagitar","FAW VolkswagenVolkswagen Sagitar",147004,"Passenger Car","Midsize",2.258,1.63472043010753,1.318,"轿车",1,1,7.2415,"紧凑型车"
"264",421,"Ford","Lincoln MKT","FordLincoln MKT",26,"Luxury SUV","Large Luxury SUV",11.98,11.4829411764706,10.8,"SUV",1,1,14.7,"中型车"
"265",422,"Ford","Lincoln MKX","FordLincoln MKX",8069,"Luxury SUV","Midsize Luxury SUV",8.8,6.87028571428571,4.498,"SUV",1,1,10.7821428571429,"中大型车"
"266",423,"Ford","Lincoln MKZ","FordLincoln MKZ",6282,"Passenger Car","Midsize",8.08,4.79707317073171,2.848,"轿车",1,1,7.35333333333333,"中型车"
"267",428,"Foton","Foton Mengpaike","FotonFoton Mengpaike",3136,"Van","Mini Van",1.88,1.32362051282051,0.968,"MPV",2,0.847222222222222,10.1957254901961,"中型车"
"268",433,"Fudi","Fudi Tansuozhe","FudiFudi Tansuozhe",65,"SUV","Midsize SUV",1.138,0.88290780141844,0.666,"越野车",1,1,8.61428571428571,"紧凑型车"
"269",451,"GAC Mitsubishi","Mitsubishi Pajero Sport","GAC MitsubishiMitsubishi Pajero Sport",2136,"SUV","Midsize SUV",3.158,2.65663636363636,2.088,"越野车",1,1,10.825,"中型车"
"270",469,"Geely","Englon Jinying","GeelyEnglon Jinying",1,"Passenger Car","Compact",0.668,0.596571428571429,0.538,"轿车",1,1,7.48571428571429,"小型车"
"271",501,"GQ Honda","Honda Odyssey","GQ HondaHonda Odyssey",22716,"MPV","Large MPV",3.548,2.61180434782609,2.238,"MPV",1,1,8.86590909090909,"中型车"
"272",519,"Honda","Honda Accord","HondaHonda Accord",2,"Passenger Car","Midsize Upper",4.075,3.25788888888889,1.56,"轿车",3,0.562091503267974,10.0513157894737,"中型车"
"273",529,"Huatai","Huatai Shengdafei","HuataiHuatai Shengdafei",3454,"SUV","Compact SUV",2.198,1.31325480769231,0.608,"SUV",1,1,8.57751479289941,"紧凑型车"
"274",542,"Hyundai","Hyundai Santa Fe","HyundaiHyundai Santa Fe",3,"SUV","Large SUV",3.618,3.06057792207792,2.266,"SUV",1,1,10.2453125,"中型车"
"275",565,"Jaguar","Jaguar F-Type","JaguarJaguar F-Type",328,"Sports Car","Large Sports",19.88,11.6651063829787,7.98,"敞篷跑车",2,0.531914893617021,9.68723404255319,"紧凑型车"
"276",594,"JMC","JMC Yusheng","JMCJMC Yusheng",10762,"SUV","Midsize SUV",1.788,1.5268,1.288,"SUV",1,1,8.925,"紧凑型车"
"277",609,"Land Rover","Land Rover Defender","Land RoverLand Rover Defender",66,"SUV","Large SUV",7.5,7.12166666666667,6.6,"越野车",1,1,10,"中型车"
"278",612,"Land Rover","Land Rover Range Rover","Land RoverLand Rover Range Rover",11852,"Luxury SUV","Large Luxury SUV",33.98,17.8900628930818,0,"SUV",1,1,13.0638157894737,"大型车"
"279",635,"Lifan","Lifan 620","LifanLifan 620",351,"Passenger Car","Midsize Basic",0.798,0.654807407407407,0.459,"轿车",1,1,7.44740740740741,"紧凑型车"
"280",637,"Lifan","Lifan 720","LifanLifan 720",75,"Passenger Car","Midsize Basic",0.804,0.702689655172414,0.598,"轿车",1,1,7.31379310344828,"紧凑型车"
"281",667,"Mazda","Mazda MX-5","MazdaMazda MX-5",12,"Sports Car","Midsize Sports",2.998,2.92168,2.78,"敞篷跑车",1,1,8.1,"紧凑型车"
"282",674,"Mercedes-Benz","Mercedes-Benz B-Class","Mercedes-BenzMercedes-Benz B-Class",4858,"Luxury Car","Compact Luxury",3.68,3.06991071428571,2.42,"旅行车",1,1,6.8622641509434,"紧凑型车"
"283",691,"Mercedes-Benz","Mercedes-Benz R-Class","Mercedes-BenzMercedes-Benz R-Class",7640,"MPV","Large MPV",12.48,7.95155172413793,5.98,"旅行车",1,1,11.2807692307692,"大型车"
"284",711,"Mitsubishi","Mitsubishi Outlander","MitsubishiMitsubishi Outlander",11,"SUV","Midsize SUV",3.74,2.88344262295082,1.998,"SUV",1,1,9.3468085106383,"中型车"
"285",731,"Nissan","Nissan Quest","NissanNissan Quest",1068,"MPV","Large MPV",6.68,5.79764705882353,4.68,"MPV",1,1,12.3083333333333,"大型车"
"286",744,"Peugeot","Peugeot RCZ","PeugeotPeugeot RCZ",20,"Sports Car","Compact Sports",4,3.57575510204082,3.288,"轿跑车",1,1,7.16938775510204,"紧凑型车"
"287",754,"Porsche","Porsche Cayman","PorschePorsche Cayman",11,"Sports Car","Compact Sports",8.529,7.307,5.88,"跑车",1,1,9.78947368421053,"紧凑型车"
"288",755,"Porsche","Porsche Panamera","PorschePorsche Panamera",1448,"Luxury Car","Large Luxury",40.72,13.3119512195122,10.88,"跑车",2,0.853658536585366,9.57407407407407,"大型车"
"289",758,"Renault","Renault Koleos","RenaultRenault Koleos",154,"SUV","Midsize SUV",2.998,2.56206141732283,1.898,"SUV",1,1,9.47735042735043,"中型车"
"290",761,"Renault","Renault Megane","RenaultRenault Megane",37,"Passenger Car","Midsize",3.858,3.18577777777778,1.95,"敞篷轿车",3,0.666666666666667,8.21428571428571,"紧凑型车"
"291",919,"Suzuki","Suzuki Kazishi","SuzukiSuzuki Kazishi",1,"Passenger Car","Compact",2.748,2.31030508474576,1.888,"轿车",1,1,8.17627118644068,"中型车"
"292",939,"Toyota","Toyota Land Cruiser","ToyotaToyota Land Cruiser",10911,"SUV","Large SUV",15.8,12.2741176470588,6.15,"越野车",1,1,17.378125,"大型车"
"293",940,"Toyota","Toyota Land Cruiser Prado","ToyotaToyota Land Cruiser Prado",17471,"SUV","Large SUV",6.4,3.62298507462687,0,"越野车",1,1,12.6974193548387,"中大型车"
"294",951,"Dongfeng Nissan","Venucia R50X","Dongfeng NissanVenucia R50X",296,"Passenger Car","Midsize Basic",0.928,0.845529411764706,0.745,"轿车",1,1,6.49411764705882,"紧凑型车"
"295",952,"Volkswagen","Volkswagen Beetle","VolkswagenVolkswagen Beetle",4756,"Passenger Car","Midsize",3.348,2.55189552238806,1.768,"轿车",2,0.805970149253731,7.43545454545455,"紧凑型车"
"296",963,"Volkswagen","Volkswagen Passat","VolkswagenVolkswagen Passat",8,"Passenger Car","Midsize Upper",3.715,3.24965217391304,2.76,"旅行车",2,0.739130434782609,7.2695652173913,"中型车"
"297",967,"Volkswagen","Volkswagen Sharan","VolkswagenVolkswagen Sharan",6748,"MPV","Large MPV",4.29,3.40832394366197,2.656,"MPV",1,1,8.64754098360656,"中型车"
