"","modelIdx","stdMake","stdModel","cp","numb","Segment","Subsegment","highprice","meanprice","lowprice","type","typedif","typeper","oil","level"
"34",400,"Ferrari Maserati","Ferrari 458","Ferrari MaseratiFerrari 458",3,"Sports Car","Large Sports",55.88,45.278,38.8,"跑车",2,0.681818181818182,13.9904761904762,"中大型车"
"35",412,"Ford","Ford Edge","FordFord Edge",1,"SUV","Midsize SUV",5.58,3.87037209302326,2.928,"SUV",1,1,13,"中型车"
"36",417,"Ford","Ford Flex","FordFord Flex",7,"MPV","Midsize MPV",NA,NA,NA,NA,NA,NA,NA,NA
"37",418,"Ford","Ford Focus","FordFord Focus",90,"Passenger Car","Midsize",4.18,2.82391351351351,2.11,"轿车",3,0.632432432432432,NA,"紧凑型车"
"38",424,"Ford","Lincoln Navigator","FordLincoln Navigator",933,"Luxury SUV","Large Luxury SUV",20.08,12.512,9.888,"SUV",1,1,16.4444444444444,"大型车"
"39",470,"Geely","Englon Kingkong","GeelyEnglon Kingkong",28875,"Passenger Car","Compact Basic",0.798,0.576357575757576,0.419,"轿车",1,1,6.80625,"小型车"
"40",499,"GQ Honda","Honda Crosstour","GQ HondaHonda Crosstour",260,"SUV","Large SUV",4.288,3.18696551724138,2.598,"旅行车",2,0.517241379310345,9.59655172413793,"中型车"
"41",505,"Hafei","Hafei Minyi","HafeiHafei Minyi",1,"Van","Mini Van",0.49,0.364954545454545,0.269,"客车",1,1,6.81818181818182,"微型客车"
"42",537,"Hyundai","Hyundai Azera","HyundaiHyundai Azera",4,"Passenger Car","Large",3.808,2.76205333333333,2.1,"轿车",1,1,9.80714285714286,"中型车"
"43",557,"JAC","JAC Rein","JACJAC Rein",3,"SUV","Midsize SUV",1.518,1.16182658959538,0.798,"SUV",1,1,8.97765151515152,"中型车"
"44",572,"Chrysler","Jeep Grand Cherokee","ChryslerJeep Grand Cherokee",5936,"SUV","Large SUV",13,7.02460447761194,4.219,"SUV",1,1,11.464,"大型车"
"45",614,"Land Rover","Land Rover Range Rover Sport","Land RoverLand Rover Range Rover Sport",13659,"Luxury SUV","Large Luxury SUV",22.98,12.2479850746269,0,"SUV",1,1,11.8695035460993,"大型车"
"46",622,"Toyota","Lexus ES","ToyotaLexus ES",30942,"Luxury Car","Midsize Luxury",6.54,4.6036170212766,2.98,"轿车",1,1,8.16382978723404,"中型车"
"47",625,"Toyota","Lexus IS","ToyotaLexus IS",498,"Luxury Car","Midsize Luxury",8.14,4.72585087719298,3.249,"轿车",2,0.921052631578947,9.90275229357798,"中型车"
"48",634,"Lifan","Lifan 530","LifanLifan 530",14,"Passenger Car","Compact Basic",0.698,0.598,0.518,"轿车",1,1,6.6,"紧凑型车"
"49",640,"Lifan","Lifan X60","LifanLifan X60",392,"SUV","Compact SUV",0.9,0.821994666666667,0.7,"SUV",1,1,7.93777777777778,"紧凑型车"
"50",641,"Lifan","Lifan Xingshun","LifanLifan Xingshun",1,"Van","Mini Van",0.458,0.428,0.398,"客车",1,1,8.2,"微型客车"
"51",661,"Mazda","Mazda 5","MazdaMazda 5",1,"Passenger Car","Midsize",1.938,1.76561904761905,1.598,"MPV",1,1,8.46060606060606,"中型车"
"52",669,"McLaren","McLaren 12C","McLarenMcLaren 12C",1,"Sports Car","Large Sports",48.8,39.59,33.8,"跑车",2,0.625,11.7,"中型车"
"53",670,"Mercedes-Benz","Mercedes-Benz A-Class","Mercedes-BenzMercedes-Benz A-Class",3663,"Luxury Car","Compact Luxury",5,3.55295833333333,2.32,"轿车",1,1,7.61034482758621,"小型车"
"54",677,"Mercedes-Benz","Mercedes-Benz C-Class","Mercedes-BenzMercedes-Benz C-Class",4498,"Luxury Car","Compact Luxury",8.78,5.14784511784512,2.66,"轿跑车",3,0.373737373737374,7.64456928838951,"中型车"
"55",679,"Mercedes-Benz","Mercedes-Benz CLS AMG","Mercedes-BenzMercedes-Benz CLS AMG",20,"Luxury Car","Compact Luxury",18.68,18.0933333333333,17.78,"跑车",1,1,12.58,"中大型车"
"56",693,"Mercedes-Benz","Mercedes-Benz S-Class","Mercedes-BenzMercedes-Benz S-Class",14089,"Luxury Car","Large Luxury",29.88,15.9690909090909,8.4,"轿车",2,0.952631578947368,10.5657534246575,"大型车"
"57",702,"Mercedes-Benz","Mercedes-Benz Vito","Mercedes-BenzMercedes-Benz Vito",287,"MPV","Large MPV",3.5,3.4,3.3,"MPV",1,1,13,"大型车"
"58",730,"Nissan","Nissan Patrol","NissanNissan Patrol",9113,"SUV","Large SUV",13.9,9.83,5.2,"越野车",1,1,13.9928571428571,"中型车"
"59",770,"SAIC","Roewe 350","SAICRoewe 350",10974,"Passenger Car","Midsize Basic",1.407,1.04855769230769,0.757,"轿车",1,1,7.63846153846154,"紧凑型车"
"60",776,"Rolls-Royce","Rolls-Royce Ghost","Rolls-RoyceRolls-Royce Ghost",211,"Luxury Car","Midsize Luxury",66.6,49.5655555555556,41.9,"轿车",1,1,13.8833333333333,"大型车"
"61",777,"Rolls-Royce","Rolls-Royce Phantom","Rolls-RoyceRolls-Royce Phantom",14,"Luxury Car","Large Luxury",188.8,88.94,61.8,"轿车",3,0.616666666666667,15.886,"大型车"
"62",789,"SAIC","MG 3","SAICMG 3",2691,"Passenger Car","Compact Upper",1.037,0.833637254901961,0.637,"轿车",1,1,6.11274509803922,"小型车"
"63",830,"SGM-Chevrolet","Chevrolet Malibu","SGM-ChevroletChevrolet Malibu",33738,"Passenger Car","Midsize Upper",2.369,1.88766666666667,1.599,"轿车",1,1,8.04666666666667,"中型车"
"64",831,"SGM-Chevrolet","Chevrolet Sail","SGM-ChevroletChevrolet Sail",44467,"Passenger Car","Compact",0.988,0.696892156862745,0.568,"轿车",2,0.911764705882353,5.67954545454545,"小型车"
"65",900,"Southeast Mitsubishi","Mitsubishi Galant","Southeast MitsubishiMitsubishi Galant",5,"Passenger Car","Midsize",2.198,1.80158823529412,1.498,"轿车",1,1,9.46617647058824,"中型车"
"66",908,"Ssangyong","Ssangyong Rexton","SsangyongSsangyong Rexton",21,"SUV","Midsize SUV",4.78,3.41238554216867,2.498,"越野车",1,1,10.3610526315789,"中型车"
"67",923,"Tianjin FAW","Tianjin FAW Weizhi","Tianjin FAWTianjin FAW Weizhi",1502,"Passenger Car","Compact",0.669,0.560247126436782,0.469,"轿车",1,1,6.37032258064516,"小型车"
"68",976,"Volvo","Volvo V60","VolvoVolvo V60",1855,"Luxury Car","Compact Luxury",6.369,3.87340677966102,2.999,"旅行车",1,1,7.43898305084746,"中型车"
"69",978,"Volvo","Volvo XC90","VolvoVolvo XC90",5844,"Luxury SUV","Large Luxury SUV",14.78,8.41392233009709,5.98,"SUV",1,1,9.54146341463415,"大型车"
"70",1051,"Kia","Kia Carnival","KiaKia Carnival",567,"MPV","Midsize MPV",3.898,3.21419047619048,2.698,"MPV",1,1,8.93809523809524,"大型车"
"71",1126,"BMW Brilliance","BMW 5 Series","BMW BrillianceBMW 5 Series",66335,"Luxury Car","Midsize Luxury",7.976,5.84156603773585,4.126,"轿车",1,1,8.32490272373541,"中大型车"
